epoc (ms),timestamp (+0800),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1573799039741,2019-11-15T14.23.59.741,0.000,-0.000036313,0.000054125,0.000040375
1573799039781,2019-11-15T14.23.59.781,0.040,-0.000034500,0.000054500,0.000042375
1573799039820,2019-11-15T14.23.59.820,0.079,-0.000034875,0.000054125,0.000041188
1573799039859,2019-11-15T14.23.59.859,0.118,-0.000035625,0.000055250,0.000041625
1573799039898,2019-11-15T14.23.59.898,0.157,-0.000036313,0.000055250,0.000041625
1573799039938,2019-11-15T14.23.59.938,0.197,-0.000034500,0.000056375,0.000042000
1573799039977,2019-11-15T14.23.59.977,0.236,-0.000035250,0.000056000,0.000040062
1573799040017,2019-11-15T14.24.00.017,0.276,-0.000037062,0.000054875,0.000041250
1573799040056,2019-11-15T14.24.00.056,0.315,-0.000037438,0.000055625,0.000041250
1573799040094,2019-11-15T14.24.00.094,0.353,-0.000036000,0.000054500,0.000041625
1573799040134,2019-11-15T14.24.00.134,0.393,-0.000035250,0.000055250,0.000041250
1573799040173,2019-11-15T14.24.00.173,0.432,-0.000033750,0.000054875,0.000041250
1573799040213,2019-11-15T14.24.00.213,0.472,-0.000036000,0.000054500,0.000040813
1573799040253,2019-11-15T14.24.00.253,0.512,-0.000033750,0.000054500,0.000041625
1573799040292,2019-11-15T14.24.00.292,0.551,-0.000037813,0.000054875,0.000040875
1573799040330,2019-11-15T14.24.00.330,0.589,-0.000039313,0.000054125,0.000040875
1573799040370,2019-11-15T14.24.00.370,0.629,-0.000034875,0.000055250,0.000040062
1573799040409,2019-11-15T14.24.00.409,0.668,-0.000039688,0.000053750,0.000041250
1573799040449,2019-11-15T14.24.00.449,0.708,-0.000038187,0.000055250,0.000041250
1573799040488,2019-11-15T14.24.00.488,0.747,-0.000037062,0.000054125,0.000041625
1573799040527,2019-11-15T14.24.00.527,0.786,-0.000037813,0.000054125,0.000041625
1573799040566,2019-11-15T14.24.00.566,0.825,-0.000036687,0.000054125,0.000041625
1573799040606,2019-11-15T14.24.00.606,0.865,-0.000036375,0.000055250,0.000040062
1573799040645,2019-11-15T14.24.00.645,0.904,-0.000036375,0.000054875,0.000041250
1573799040685,2019-11-15T14.24.00.685,0.944,-0.000039688,0.000055625,0.000039250
1573799040724,2019-11-15T14.24.00.724,0.983,-0.000036000,0.000055250,0.000040875
1573799040762,2019-11-15T14.24.00.762,1.021,-0.000037062,0.000055625,0.000041250
1573799040802,2019-11-15T14.24.00.802,1.061,-0.000036687,0.000055625,0.000040875
1573799040841,2019-11-15T14.24.00.841,1.100,-0.000035625,0.000056000,0.000041625
1573799040881,2019-11-15T14.24.00.881,1.140,-0.000037813,0.000055625,0.000042063
1573799040921,2019-11-15T14.24.00.921,1.180,-0.000037062,0.000054500,0.000040875
1573799040960,2019-11-15T14.24.00.960,1.219,-0.000036000,0.000054500,0.000040875
1573799040998,2019-11-15T14.24.00.998,1.257,-0.000034875,0.000054875,0.000041250
1573799041038,2019-11-15T14.24.01.038,1.297,-0.000037438,0.000056000,0.000040437
1573799041077,2019-11-15T14.24.01.077,1.336,-0.000037438,0.000054500,0.000041250
1573799041117,2019-11-15T14.24.01.117,1.376,-0.000038938,0.000054500,0.000041625
1573799041156,2019-11-15T14.24.01.156,1.415,-0.000037438,0.000054875,0.000041625
1573799041196,2019-11-15T14.24.01.196,1.455,-0.000036000,0.000055250,0.000041250
1573799041234,2019-11-15T14.24.01.234,1.493,-0.000036375,0.000054875,0.000041625
1573799041274,2019-11-15T14.24.01.274,1.533,-0.000037438,0.000054500,0.000041250
1573799041313,2019-11-15T14.24.01.313,1.572,-0.000035250,0.000054500,0.000041625
1573799041353,2019-11-15T14.24.01.353,1.612,-0.000034875,0.000054500,0.000041625
1573799041392,2019-11-15T14.24.01.392,1.651,-0.000036687,0.000056000,0.000040875
1573799041432,2019-11-15T14.24.01.432,1.691,-0.000038187,0.000055250,0.000041625
1573799041470,2019-11-15T14.24.01.470,1.729,-0.000039313,0.000056375,0.000042063
1573799041509,2019-11-15T14.24.01.509,1.768,-0.000038938,0.000055250,0.000041250
1573799041549,2019-11-15T14.24.01.549,1.808,-0.000035250,0.000055250,0.000040875
1573799041589,2019-11-15T14.24.01.589,1.848,-0.000034500,0.000054875,0.000041250
1573799041628,2019-11-15T14.24.01.628,1.887,-0.000032625,0.000056375,0.000041250
1573799041668,2019-11-15T14.24.01.668,1.927,-0.000038938,0.000055625,0.000040875
1573799041706,2019-11-15T14.24.01.706,1.965,-0.000038938,0.000055250,0.000040875
1573799041745,2019-11-15T14.24.01.745,2.004,-0.000039313,0.000055250,0.000041625
1573799041785,2019-11-15T14.24.01.785,2.044,-0.000036375,0.000055250,0.000040875
1573799041824,2019-11-15T14.24.01.824,2.083,-0.000038938,0.000054875,0.000042812
1573799041864,2019-11-15T14.24.01.864,2.123,-0.000038562,0.000054500,0.000040875
1573799041903,2019-11-15T14.24.01.903,2.162,-0.000038562,0.000053750,0.000041250
1573799041942,2019-11-15T14.24.01.942,2.201,-0.000036000,0.000055250,0.000040875
1573799041981,2019-11-15T14.24.01.981,2.240,-0.000037438,0.000054875,0.000042063
1573799042021,2019-11-15T14.24.02.021,2.280,-0.000035625,0.000054500,0.000042812
1573799042060,2019-11-15T14.24.02.060,2.319,-0.000039313,0.000054875,0.000042063
1573799042100,2019-11-15T14.24.02.100,2.359,-0.000036000,0.000056000,0.000040062
1573799042138,2019-11-15T14.24.02.138,2.397,-0.000033375,0.000055250,0.000040875
1573799042177,2019-11-15T14.24.02.177,2.436,-0.000033000,0.000056000,0.000040875
1573799042217,2019-11-15T14.24.02.217,2.476,-0.000032250,0.000054875,0.000041625
1573799042256,2019-11-15T14.24.02.256,2.515,-0.000035250,0.000055250,0.000041250
1573799042296,2019-11-15T14.24.02.296,2.555,-0.000035625,0.000056000,0.000040875
1573799042336,2019-11-15T14.24.02.336,2.595,-0.000035250,0.000054125,0.000041250
1573799042374,2019-11-15T14.24.02.374,2.633,-0.000039313,0.000055625,0.000040875
1573799042413,2019-11-15T14.24.02.413,2.672,-0.000035625,0.000054875,0.000040875
1573799042453,2019-11-15T14.24.02.453,2.712,-0.000039688,0.000053750,0.000041250
1573799042492,2019-11-15T14.24.02.492,2.751,-0.000034500,0.000055250,0.000040875
1573799042532,2019-11-15T14.24.02.532,2.791,-0.000036375,0.000055250,0.000041625
1573799042571,2019-11-15T14.24.02.571,2.830,-0.000037813,0.000054875,0.000040875
1573799042610,2019-11-15T14.24.02.610,2.869,-0.000037438,0.000055250,0.000042063
1573799042649,2019-11-15T14.24.02.649,2.908,-0.000035250,0.000055625,0.000041250
1573799042689,2019-11-15T14.24.02.689,2.948,-0.000033000,0.000054500,0.000041250
1573799042728,2019-11-15T14.24.02.728,2.987,-0.000038562,0.000055250,0.000042063
1573799042768,2019-11-15T14.24.02.768,3.027,-0.000038562,0.000055250,0.000041625
1573799042807,2019-11-15T14.24.02.807,3.066,-0.000037062,0.000054875,0.000041625
1573799042845,2019-11-15T14.24.02.845,3.104,-0.000036687,0.000055250,0.000042063
1573799042885,2019-11-15T14.24.02.885,3.144,-0.000035250,0.000054875,0.000042063
1573799042924,2019-11-15T14.24.02.924,3.183,-0.000036687,0.000054875,0.000042812
1573799042964,2019-11-15T14.24.02.964,3.223,-0.000032250,0.000054500,0.000040875
1573799043004,2019-11-15T14.24.03.004,3.263,-0.000037438,0.000054875,0.000040875
1573799043042,2019-11-15T14.24.03.042,3.301,-0.000033750,0.000054125,0.000040500
1573799043081,2019-11-15T14.24.03.081,3.340,-0.000034875,0.000054500,0.000041625
1573799043121,2019-11-15T14.24.03.121,3.380,-0.000037813,0.000054875,0.000041625
1573799043160,2019-11-15T14.24.03.160,3.419,-0.000035625,0.000055625,0.000040062
1573799043200,2019-11-15T14.24.03.200,3.459,-0.000034125,0.000054125,0.000041250
1573799043239,2019-11-15T14.24.03.239,3.498,-0.000034875,0.000055625,0.000042063
1573799043277,2019-11-15T14.24.03.277,3.536,-0.000037438,0.000056375,0.000041250
1573799043317,2019-11-15T14.24.03.317,3.576,-0.000034875,0.000054875,0.000041250
