epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574065033729,2019-11-18T16.17.13.729,0.000,-0.023,0.033,-1.033
1574065033739,2019-11-18T16.17.13.739,0.010,-0.024,0.034,-1.042
1574065033748,2019-11-18T16.17.13.748,0.019,-0.026,0.032,-1.039
1574065033758,2019-11-18T16.17.13.758,0.029,-0.025,0.032,-1.039
1574065033768,2019-11-18T16.17.13.768,0.039,-0.022,0.031,-1.042
1574065033778,2019-11-18T16.17.13.778,0.049,-0.022,0.031,-1.041
1574065033789,2019-11-18T16.17.13.789,0.060,-0.025,0.032,-1.037
1574065033799,2019-11-18T16.17.13.799,0.070,-0.024,0.030,-1.040
1574065033809,2019-11-18T16.17.13.809,0.080,-0.025,0.032,-1.041
1574065033819,2019-11-18T16.17.13.819,0.090,-0.025,0.031,-1.042
1574065033830,2019-11-18T16.17.13.830,0.101,-0.025,0.031,-1.041
1574065033840,2019-11-18T16.17.13.840,0.111,-0.025,0.030,-1.042
1574065033850,2019-11-18T16.17.13.850,0.121,-0.025,0.030,-1.040
1574065033860,2019-11-18T16.17.13.860,0.131,-0.026,0.031,-1.042
1574065033869,2019-11-18T16.17.13.869,0.140,-0.022,0.030,-1.041
1574065033880,2019-11-18T16.17.13.880,0.151,-0.025,0.030,-1.040
1574065033890,2019-11-18T16.17.13.890,0.161,-0.024,0.030,-1.042
1574065033900,2019-11-18T16.17.13.900,0.171,-0.025,0.030,-1.042
1574065033910,2019-11-18T16.17.13.910,0.181,-0.023,0.030,-1.041
1574065033921,2019-11-18T16.17.13.921,0.192,-0.024,0.031,-1.040
1574065033931,2019-11-18T16.17.13.931,0.202,-0.023,0.032,-1.041
1574065033941,2019-11-18T16.17.13.941,0.212,-0.023,0.030,-1.041
1574065033951,2019-11-18T16.17.13.951,0.222,-0.024,0.032,-1.040
1574065033962,2019-11-18T16.17.13.962,0.233,-0.025,0.031,-1.042
1574065033972,2019-11-18T16.17.13.972,0.243,-0.025,0.030,-1.040
1574065033982,2019-11-18T16.17.13.982,0.253,-0.023,0.032,-1.039
1574065033992,2019-11-18T16.17.13.992,0.263,-0.023,0.028,-1.042
1574065034001,2019-11-18T16.17.14.001,0.272,-0.025,0.030,-1.042
1574065034011,2019-11-18T16.17.14.011,0.282,-0.023,0.030,-1.041
1574065034022,2019-11-18T16.17.14.022,0.293,-0.024,0.031,-1.041
1574065034032,2019-11-18T16.17.14.032,0.303,-0.026,0.030,-1.039
1574065034042,2019-11-18T16.17.14.042,0.313,-0.025,0.031,-1.041
1574065034052,2019-11-18T16.17.14.052,0.323,-0.023,0.030,-1.042
1574065034063,2019-11-18T16.17.14.063,0.334,-0.023,0.030,-1.041
1574065034073,2019-11-18T16.17.14.073,0.344,-0.022,0.031,-1.042
1574065034083,2019-11-18T16.17.14.083,0.354,-0.025,0.032,-1.042
1574065034093,2019-11-18T16.17.14.093,0.364,-0.024,0.030,-1.040
1574065034104,2019-11-18T16.17.14.104,0.375,-0.021,0.030,-1.043
1574065034114,2019-11-18T16.17.14.114,0.385,-0.024,0.032,-1.041
1574065034123,2019-11-18T16.17.14.123,0.394,-0.025,0.032,-1.043
1574065034133,2019-11-18T16.17.14.133,0.404,-0.025,0.031,-1.041
1574065034143,2019-11-18T16.17.14.143,0.414,-0.025,0.029,-1.041
1574065034153,2019-11-18T16.17.14.153,0.424,-0.026,0.029,-1.043
1574065034164,2019-11-18T16.17.14.164,0.435,-0.023,0.030,-1.042
1574065034174,2019-11-18T16.17.14.174,0.445,-0.025,0.030,-1.038
1574065034184,2019-11-18T16.17.14.184,0.455,-0.023,0.030,-1.038
1574065034194,2019-11-18T16.17.14.194,0.465,-0.025,0.031,-1.039
1574065034205,2019-11-18T16.17.14.205,0.476,-0.025,0.030,-1.040
1574065034215,2019-11-18T16.17.14.215,0.486,-0.027,0.028,-1.039
1574065034225,2019-11-18T16.17.14.225,0.496,-0.025,0.031,-1.040
1574065034235,2019-11-18T16.17.14.235,0.506,-0.023,0.030,-1.039
1574065034246,2019-11-18T16.17.14.246,0.517,-0.022,0.031,-1.039
1574065034255,2019-11-18T16.17.14.255,0.526,-0.025,0.031,-1.042
1574065034265,2019-11-18T16.17.14.265,0.536,-0.023,0.030,-1.040
1574065034275,2019-11-18T16.17.14.275,0.546,-0.024,0.030,-1.042
1574065034285,2019-11-18T16.17.14.285,0.556,-0.025,0.032,-1.040
1574065034296,2019-11-18T16.17.14.296,0.567,-0.023,0.031,-1.041
1574065034306,2019-11-18T16.17.14.306,0.577,-0.024,0.029,-1.040
1574065034316,2019-11-18T16.17.14.316,0.587,-0.026,0.029,-1.042
1574065034326,2019-11-18T16.17.14.326,0.597,-0.024,0.029,-1.043
1574065034337,2019-11-18T16.17.14.337,0.608,-0.024,0.031,-1.041
1574065034347,2019-11-18T16.17.14.347,0.618,-0.024,0.030,-1.041
1574065034357,2019-11-18T16.17.14.357,0.628,-0.025,0.032,-1.039
1574065034367,2019-11-18T16.17.14.367,0.638,-0.022,0.029,-1.041
1574065034376,2019-11-18T16.17.14.376,0.647,-0.024,0.030,-1.041
1574065034386,2019-11-18T16.17.14.386,0.657,-0.025,0.029,-1.039
1574065034397,2019-11-18T16.17.14.397,0.668,-0.024,0.028,-1.042
1574065034407,2019-11-18T16.17.14.407,0.678,-0.024,0.032,-1.038
1574065034417,2019-11-18T16.17.14.417,0.688,-0.025,0.033,-1.039
1574065034427,2019-11-18T16.17.14.427,0.698,-0.025,0.032,-1.041
1574065034438,2019-11-18T16.17.14.438,0.709,-0.024,0.033,-1.040
1574065034448,2019-11-18T16.17.14.448,0.719,-0.025,0.032,-1.040
1574065034458,2019-11-18T16.17.14.458,0.729,-0.025,0.031,-1.041
1574065034468,2019-11-18T16.17.14.468,0.739,-0.024,0.032,-1.041
1574065034479,2019-11-18T16.17.14.479,0.750,-0.025,0.032,-1.042
1574065034489,2019-11-18T16.17.14.489,0.760,-0.025,0.029,-1.039
1574065034499,2019-11-18T16.17.14.499,0.770,-0.027,0.033,-1.041
1574065034508,2019-11-18T16.17.14.508,0.779,-0.024,0.034,-1.041
1574065034518,2019-11-18T16.17.14.518,0.789,-0.025,0.031,-1.039
1574065034528,2019-11-18T16.17.14.528,0.799,-0.025,0.032,-1.040
1574065034539,2019-11-18T16.17.14.539,0.810,-0.027,0.030,-1.039
1574065034549,2019-11-18T16.17.14.549,0.820,-0.025,0.029,-1.040
1574065034559,2019-11-18T16.17.14.559,0.830,-0.023,0.029,-1.040
1574065034569,2019-11-18T16.17.14.569,0.840,-0.023,0.030,-1.039
1574065034580,2019-11-18T16.17.14.580,0.851,-0.023,0.030,-1.041
1574065034590,2019-11-18T16.17.14.590,0.861,-0.025,0.031,-1.039
1574065034600,2019-11-18T16.17.14.600,0.871,-0.023,0.032,-1.042
1574065034610,2019-11-18T16.17.14.610,0.881,-0.025,0.032,-1.040
1574065034621,2019-11-18T16.17.14.621,0.892,-0.024,0.030,-1.040
