epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1574065033739,2019-11-18T16.17.13.739,0.000,1.098,-0.549,-1.524
1574065033748,2019-11-18T16.17.13.748,0.009,0.854,-1.098,-1.402
1574065033758,2019-11-18T16.17.13.758,0.019,0.732,-0.610,-1.341
1574065033768,2019-11-18T16.17.13.768,0.029,0.915,-0.488,-1.280
1574065033778,2019-11-18T16.17.13.778,0.039,0.854,-0.671,-1.220
1574065033789,2019-11-18T16.17.13.789,0.050,0.915,-0.610,-1.341
1574065033799,2019-11-18T16.17.13.799,0.060,0.915,-0.610,-1.280
1574065033809,2019-11-18T16.17.13.809,0.070,0.793,-0.549,-1.280
1574065033819,2019-11-18T16.17.13.819,0.080,0.732,-0.610,-1.159
1574065033830,2019-11-18T16.17.13.830,0.091,0.854,-0.610,-1.220
1574065033840,2019-11-18T16.17.13.840,0.101,0.915,-0.549,-1.220
1574065033850,2019-11-18T16.17.13.850,0.111,0.854,-0.610,-1.220
1574065033860,2019-11-18T16.17.13.860,0.121,0.854,-0.549,-1.159
1574065033869,2019-11-18T16.17.13.869,0.130,0.732,-0.610,-1.220
1574065033880,2019-11-18T16.17.13.880,0.141,0.854,-0.610,-1.220
1574065033890,2019-11-18T16.17.13.890,0.151,0.976,-0.610,-1.280
1574065033900,2019-11-18T16.17.13.900,0.161,0.793,-0.610,-1.280
1574065033910,2019-11-18T16.17.13.910,0.171,0.793,-0.549,-1.220
1574065033921,2019-11-18T16.17.13.921,0.182,0.915,-0.549,-1.159
1574065033931,2019-11-18T16.17.13.931,0.192,0.915,-0.488,-1.220
1574065033941,2019-11-18T16.17.13.941,0.202,0.915,-0.549,-1.220
1574065033951,2019-11-18T16.17.13.951,0.212,0.915,-0.671,-1.159
1574065033962,2019-11-18T16.17.13.962,0.223,0.976,-0.610,-1.280
1574065033972,2019-11-18T16.17.13.972,0.233,0.915,-0.549,-1.341
1574065033982,2019-11-18T16.17.13.982,0.243,0.976,-0.549,-1.280
1574065033992,2019-11-18T16.17.13.992,0.253,0.976,-0.549,-1.280
1574065034001,2019-11-18T16.17.14.001,0.262,0.854,-0.610,-1.280
1574065034011,2019-11-18T16.17.14.011,0.272,0.976,-0.610,-1.159
1574065034022,2019-11-18T16.17.14.022,0.283,0.793,-0.549,-1.159
1574065034032,2019-11-18T16.17.14.032,0.293,0.732,-0.610,-1.280
1574065034042,2019-11-18T16.17.14.042,0.303,0.732,-0.671,-1.280
1574065034052,2019-11-18T16.17.14.052,0.313,0.854,-0.549,-1.220
1574065034063,2019-11-18T16.17.14.063,0.324,0.854,-0.488,-1.220
1574065034073,2019-11-18T16.17.14.073,0.334,0.915,-0.610,-1.220
1574065034083,2019-11-18T16.17.14.083,0.344,0.854,-0.610,-1.280
1574065034093,2019-11-18T16.17.14.093,0.354,0.915,-0.732,-1.280
1574065034104,2019-11-18T16.17.14.104,0.365,0.793,-0.610,-1.280
1574065034114,2019-11-18T16.17.14.114,0.375,0.854,-0.610,-1.220
1574065034123,2019-11-18T16.17.14.123,0.384,0.854,-0.610,-1.220
1574065034133,2019-11-18T16.17.14.133,0.394,0.793,-0.549,-1.280
1574065034143,2019-11-18T16.17.14.143,0.404,0.915,-0.610,-1.220
1574065034153,2019-11-18T16.17.14.153,0.414,0.732,-0.671,-1.280
1574065034164,2019-11-18T16.17.14.164,0.425,0.915,-0.671,-1.159
1574065034174,2019-11-18T16.17.14.174,0.435,0.854,-0.549,-1.159
1574065034184,2019-11-18T16.17.14.184,0.445,0.915,-0.488,-1.341
1574065034194,2019-11-18T16.17.14.194,0.455,0.854,-0.610,-1.341
1574065034205,2019-11-18T16.17.14.205,0.466,0.854,-0.610,-1.220
1574065034215,2019-11-18T16.17.14.215,0.476,0.915,-0.549,-1.159
1574065034225,2019-11-18T16.17.14.225,0.486,0.915,-0.671,-1.280
1574065034235,2019-11-18T16.17.14.235,0.496,0.915,-0.671,-1.220
1574065034246,2019-11-18T16.17.14.246,0.507,0.854,-0.549,-1.220
1574065034255,2019-11-18T16.17.14.255,0.516,0.854,-0.671,-1.220
1574065034265,2019-11-18T16.17.14.265,0.526,0.793,-0.610,-1.280
1574065034275,2019-11-18T16.17.14.275,0.536,0.732,-0.610,-1.402
1574065034285,2019-11-18T16.17.14.285,0.546,0.854,-0.610,-1.280
1574065034296,2019-11-18T16.17.14.296,0.557,0.854,-0.671,-1.220
1574065034306,2019-11-18T16.17.14.306,0.567,0.854,-0.549,-1.220
1574065034316,2019-11-18T16.17.14.316,0.577,0.854,-0.549,-1.341
1574065034326,2019-11-18T16.17.14.326,0.587,0.854,-0.610,-1.220
1574065034337,2019-11-18T16.17.14.337,0.598,0.854,-0.549,-1.159
1574065034347,2019-11-18T16.17.14.347,0.608,0.854,-0.488,-1.341
1574065034357,2019-11-18T16.17.14.357,0.618,0.793,-0.488,-1.280
1574065034367,2019-11-18T16.17.14.367,0.628,0.915,-0.488,-1.280
1574065034378,2019-11-18T16.17.14.378,0.639,0.854,-0.610,-1.159
1574065034386,2019-11-18T16.17.14.386,0.647,0.915,-0.488,-1.159
1574065034397,2019-11-18T16.17.14.397,0.658,0.976,-0.610,-1.220
1574065034407,2019-11-18T16.17.14.407,0.668,0.915,-0.549,-1.220
1574065034417,2019-11-18T16.17.14.417,0.678,0.915,-0.549,-1.280
1574065034427,2019-11-18T16.17.14.427,0.688,0.854,-0.610,-1.220
1574065034438,2019-11-18T16.17.14.438,0.699,0.793,-0.549,-1.220
1574065034448,2019-11-18T16.17.14.448,0.709,0.854,-0.549,-1.280
1574065034458,2019-11-18T16.17.14.458,0.719,0.854,-0.610,-1.220
1574065034468,2019-11-18T16.17.14.468,0.729,0.793,-0.610,-1.280
1574065034479,2019-11-18T16.17.14.479,0.740,0.854,-0.671,-1.280
1574065034489,2019-11-18T16.17.14.489,0.750,0.915,-0.549,-1.280
1574065034499,2019-11-18T16.17.14.499,0.760,0.793,-0.610,-1.220
1574065034508,2019-11-18T16.17.14.508,0.769,0.793,-0.549,-1.159
1574065034518,2019-11-18T16.17.14.518,0.779,0.854,-0.488,-1.280
1574065034528,2019-11-18T16.17.14.528,0.789,0.793,-0.549,-1.220
1574065034539,2019-11-18T16.17.14.539,0.800,0.976,-0.610,-1.280
1574065034549,2019-11-18T16.17.14.549,0.810,0.854,-0.610,-1.280
1574065034559,2019-11-18T16.17.14.559,0.820,0.793,-0.549,-1.220
1574065034569,2019-11-18T16.17.14.569,0.830,0.915,-0.610,-1.220
1574065034580,2019-11-18T16.17.14.580,0.841,0.915,-0.488,-1.280
1574065034590,2019-11-18T16.17.14.590,0.851,0.915,-0.488,-1.220
1574065034600,2019-11-18T16.17.14.600,0.861,0.915,-0.610,-1.220
1574065034610,2019-11-18T16.17.14.610,0.871,0.854,-0.549,-1.220
1574065034621,2019-11-18T16.17.14.621,0.882,0.915,-0.488,-1.220
1574065034631,2019-11-18T16.17.14.631,0.892,0.976,-0.549,-1.280
1574065034640,2019-11-18T16.17.14.640,0.901,0.854,-0.549,-1.220
1574065034650,2019-11-18T16.17.14.650,0.911,0.915,-0.610,-1.280
1574065034660,2019-11-18T16.17.14.660,0.921,0.915,-0.549,-1.220
1574065034671,2019-11-18T16.17.14.671,0.932,0.793,-0.549,-1.220
1574065034681,2019-11-18T16.17.14.681,0.942,0.915,-0.671,-1.220
1574065034691,2019-11-18T16.17.14.691,0.952,0.854,-0.732,-1.280
1574065034701,2019-11-18T16.17.14.701,0.962,0.854,-0.610,-1.280
1574065034712,2019-11-18T16.17.14.712,0.973,0.915,-0.610,-1.280
1574065034722,2019-11-18T16.17.14.722,0.983,1.037,-0.549,-1.280
1574065034732,2019-11-18T16.17.14.732,0.993,0.854,-0.488,-1.220
1574065034742,2019-11-18T16.17.14.742,1.003,0.854,-0.549,-1.159
1574065034753,2019-11-18T16.17.14.753,1.014,0.915,-0.549,-1.280
1574065034761,2019-11-18T16.17.14.761,1.022,0.915,-0.549,-1.280
1574065034772,2019-11-18T16.17.14.772,1.033,0.854,-0.610,-1.220
1574065034782,2019-11-18T16.17.14.782,1.043,0.854,-0.671,-1.220
1574065034792,2019-11-18T16.17.14.792,1.053,0.854,-0.610,-1.220
1574065034802,2019-11-18T16.17.14.802,1.063,0.854,-0.610,-1.341
1574065034813,2019-11-18T16.17.14.813,1.074,0.854,-0.610,-1.280
1574065034823,2019-11-18T16.17.14.823,1.084,0.854,-0.549,-1.220
1574065034833,2019-11-18T16.17.14.833,1.094,0.976,-0.549,-1.220
1574065034843,2019-11-18T16.17.14.843,1.104,0.854,-0.549,-1.220
1574065034854,2019-11-18T16.17.14.854,1.115,0.854,-0.671,-1.159
1574065034864,2019-11-18T16.17.14.864,1.125,0.915,-0.549,-1.280
1574065034874,2019-11-18T16.17.14.874,1.135,0.915,-0.610,-1.280
1574065034884,2019-11-18T16.17.14.884,1.145,0.854,-0.610,-1.220
1574065034893,2019-11-18T16.17.14.893,1.154,0.915,-0.549,-1.220
1574065034903,2019-11-18T16.17.14.903,1.164,0.915,-0.610,-1.341
1574065034914,2019-11-18T16.17.14.914,1.175,0.793,-0.488,-1.280
1574065034924,2019-11-18T16.17.14.924,1.185,0.854,-0.549,-1.220
1574065034934,2019-11-18T16.17.14.934,1.195,0.854,-0.610,-1.220
1574065034944,2019-11-18T16.17.14.944,1.205,0.854,-0.610,-1.220
1574065034955,2019-11-18T16.17.14.955,1.216,0.854,-0.610,-1.220
1574065034965,2019-11-18T16.17.14.965,1.226,0.915,-0.549,-1.220
1574065034975,2019-11-18T16.17.14.975,1.236,0.854,-0.610,-1.280
1574065034985,2019-11-18T16.17.14.985,1.246,0.732,-0.549,-1.220
1574065034996,2019-11-18T16.17.14.996,1.257,0.915,-0.610,-1.280
1574065035006,2019-11-18T16.17.15.006,1.267,0.854,-0.610,-1.280
1574065035015,2019-11-18T16.17.15.015,1.276,0.915,-0.610,-1.280
1574065035025,2019-11-18T16.17.15.025,1.286,0.976,-0.549,-1.280
1574065035035,2019-11-18T16.17.15.035,1.296,0.915,-0.549,-1.159
1574065035046,2019-11-18T16.17.15.046,1.307,0.854,-0.549,-1.280
1574065035056,2019-11-18T16.17.15.056,1.317,0.854,-0.549,-1.341
1574065035066,2019-11-18T16.17.15.066,1.327,1.037,-0.549,-1.280
1574065035076,2019-11-18T16.17.15.076,1.337,0.915,-0.610,-1.280
1574065035087,2019-11-18T16.17.15.087,1.348,0.854,-0.610,-1.280
1574065035097,2019-11-18T16.17.15.097,1.358,0.854,-0.549,-1.220
1574065035107,2019-11-18T16.17.15.107,1.368,0.854,-0.549,-1.280
1574065035117,2019-11-18T16.17.15.117,1.378,0.854,-0.610,-1.220
1574065035128,2019-11-18T16.17.15.128,1.389,0.793,-0.549,-1.280
1574065035138,2019-11-18T16.17.15.138,1.399,0.915,-0.610,-1.280
1574065035147,2019-11-18T16.17.15.147,1.408,1.037,-0.610,-1.280
1574065035157,2019-11-18T16.17.15.157,1.418,0.793,-0.549,-1.280
1574065035167,2019-11-18T16.17.15.167,1.428,0.854,-0.610,-1.220
1574065035177,2019-11-18T16.17.15.177,1.438,0.976,-0.671,-1.220
1574065035188,2019-11-18T16.17.15.188,1.449,0.915,-0.671,-1.280
1574065035198,2019-11-18T16.17.15.198,1.459,0.793,-0.610,-1.220
1574065035208,2019-11-18T16.17.15.208,1.469,0.793,-0.549,-1.280
1574065035218,2019-11-18T16.17.15.218,1.479,0.976,-0.488,-1.280
1574065035229,2019-11-18T16.17.15.229,1.490,0.976,-0.549,-1.220
1574065035239,2019-11-18T16.17.15.239,1.500,0.793,-0.610,-1.280
1574065035249,2019-11-18T16.17.15.249,1.510,0.854,-0.549,-1.280
1574065035259,2019-11-18T16.17.15.259,1.520,0.793,-0.549,-1.280
1574065035268,2019-11-18T16.17.15.268,1.529,0.854,-0.549,-1.159
1574065035278,2019-11-18T16.17.15.278,1.539,0.915,-0.549,-1.220
1574065035289,2019-11-18T16.17.15.289,1.550,0.915,-0.488,-1.280
