epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574069244130,2019-11-18T17.27.24.130,0.000,-0.041,-0.033,-1.033
1574069244140,2019-11-18T17.27.24.140,0.010,-0.042,-0.034,-1.043
1574069244151,2019-11-18T17.27.24.151,0.021,-0.043,-0.035,-1.040
1574069244161,2019-11-18T17.27.24.161,0.031,-0.040,-0.033,-1.041
1574069244171,2019-11-18T17.27.24.171,0.041,-0.041,-0.031,-1.041
1574069244181,2019-11-18T17.27.24.181,0.051,-0.042,-0.033,-1.041
1574069244192,2019-11-18T17.27.24.192,0.062,-0.041,-0.033,-1.041
1574069244202,2019-11-18T17.27.24.202,0.072,-0.042,-0.032,-1.040
1574069244212,2019-11-18T17.27.24.212,0.082,-0.041,-0.034,-1.042
1574069244222,2019-11-18T17.27.24.222,0.092,-0.041,-0.033,-1.042
1574069244233,2019-11-18T17.27.24.233,0.103,-0.042,-0.035,-1.039
1574069244243,2019-11-18T17.27.24.243,0.113,-0.041,-0.034,-1.042
1574069244253,2019-11-18T17.27.24.253,0.123,-0.042,-0.034,-1.042
1574069244262,2019-11-18T17.27.24.262,0.132,-0.042,-0.033,-1.042
1574069244272,2019-11-18T17.27.24.272,0.142,-0.040,-0.035,-1.041
1574069244283,2019-11-18T17.27.24.283,0.153,-0.040,-0.034,-1.041
1574069244293,2019-11-18T17.27.24.293,0.163,-0.042,-0.035,-1.044
1574069244303,2019-11-18T17.27.24.303,0.173,-0.041,-0.033,-1.043
1574069244313,2019-11-18T17.27.24.313,0.183,-0.041,-0.035,-1.041
1574069244324,2019-11-18T17.27.24.324,0.194,-0.042,-0.032,-1.042
1574069244334,2019-11-18T17.27.24.334,0.204,-0.040,-0.033,-1.044
1574069244344,2019-11-18T17.27.24.344,0.214,-0.042,-0.036,-1.043
1574069244354,2019-11-18T17.27.24.354,0.224,-0.042,-0.035,-1.040
1574069244365,2019-11-18T17.27.24.365,0.235,-0.041,-0.035,-1.040
1574069244375,2019-11-18T17.27.24.375,0.245,-0.041,-0.034,-1.040
1574069244385,2019-11-18T17.27.24.385,0.255,-0.040,-0.033,-1.042
1574069244395,2019-11-18T17.27.24.395,0.265,-0.041,-0.033,-1.042
1574069244406,2019-11-18T17.27.24.406,0.276,-0.041,-0.033,-1.039
1574069244416,2019-11-18T17.27.24.416,0.286,-0.040,-0.033,-1.040
1574069244426,2019-11-18T17.27.24.426,0.296,-0.041,-0.033,-1.042
1574069244436,2019-11-18T17.27.24.436,0.306,-0.044,-0.034,-1.042
1574069244445,2019-11-18T17.27.24.445,0.315,-0.043,-0.036,-1.043
1574069244455,2019-11-18T17.27.24.455,0.325,-0.041,-0.034,-1.041
1574069244466,2019-11-18T17.27.24.466,0.336,-0.043,-0.033,-1.040
1574069244476,2019-11-18T17.27.24.476,0.346,-0.042,-0.035,-1.042
1574069244486,2019-11-18T17.27.24.486,0.356,-0.041,-0.033,-1.041
1574069244496,2019-11-18T17.27.24.496,0.366,-0.042,-0.034,-1.040
1574069244507,2019-11-18T17.27.24.507,0.377,-0.041,-0.034,-1.038
1574069244517,2019-11-18T17.27.24.517,0.387,-0.039,-0.035,-1.043
1574069244527,2019-11-18T17.27.24.527,0.397,-0.040,-0.034,-1.043
1574069244537,2019-11-18T17.27.24.537,0.407,-0.040,-0.032,-1.041
1574069244548,2019-11-18T17.27.24.548,0.418,-0.041,-0.036,-1.037
1574069244558,2019-11-18T17.27.24.558,0.428,-0.042,-0.034,-1.043
1574069244568,2019-11-18T17.27.24.568,0.438,-0.042,-0.034,-1.038
1574069244578,2019-11-18T17.27.24.578,0.448,-0.042,-0.035,-1.040
1574069244589,2019-11-18T17.27.24.589,0.459,-0.042,-0.034,-1.039
1574069244599,2019-11-18T17.27.24.599,0.469,-0.039,-0.035,-1.042
1574069244609,2019-11-18T17.27.24.609,0.479,-0.042,-0.032,-1.040
1574069244618,2019-11-18T17.27.24.618,0.488,-0.042,-0.036,-1.041
1574069244628,2019-11-18T17.27.24.628,0.498,-0.041,-0.036,-1.041
1574069244638,2019-11-18T17.27.24.638,0.508,-0.041,-0.032,-1.041
1574069244649,2019-11-18T17.27.24.649,0.519,-0.042,-0.034,-1.042
1574069244659,2019-11-18T17.27.24.659,0.529,-0.043,-0.035,-1.040
1574069244669,2019-11-18T17.27.24.669,0.539,-0.041,-0.035,-1.041
1574069244679,2019-11-18T17.27.24.679,0.549,-0.042,-0.035,-1.042
1574069244690,2019-11-18T17.27.24.690,0.560,-0.041,-0.034,-1.042
1574069244700,2019-11-18T17.27.24.700,0.570,-0.041,-0.033,-1.039
1574069244710,2019-11-18T17.27.24.710,0.580,-0.041,-0.034,-1.042
1574069244721,2019-11-18T17.27.24.721,0.591,-0.040,-0.034,-1.039
1574069244731,2019-11-18T17.27.24.731,0.601,-0.041,-0.032,-1.040
1574069244741,2019-11-18T17.27.24.741,0.611,-0.042,-0.037,-1.040
1574069244751,2019-11-18T17.27.24.751,0.621,-0.042,-0.033,-1.039
1574069244762,2019-11-18T17.27.24.762,0.632,-0.041,-0.036,-1.042
