epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574069594643,2019-11-18T17.33.14.643,0.000,-0.051,-0.030,-1.007
1574069594653,2019-11-18T17.33.14.653,0.010,-0.051,-0.030,-1.018
1574069594663,2019-11-18T17.33.14.663,0.020,-0.051,-0.030,-1.017
1574069594673,2019-11-18T17.33.14.673,0.030,-0.050,-0.029,-1.018
1574069594682,2019-11-18T17.33.14.682,0.039,-0.050,-0.030,-1.016
1574069594692,2019-11-18T17.33.14.692,0.049,-0.051,-0.032,-1.016
1574069594703,2019-11-18T17.33.14.703,0.060,-0.052,-0.030,-1.015
1574069594713,2019-11-18T17.33.14.713,0.070,-0.051,-0.029,-1.014
1574069594723,2019-11-18T17.33.14.723,0.080,-0.052,-0.030,-1.018
1574069594733,2019-11-18T17.33.14.733,0.090,-0.050,-0.030,-1.016
1574069594744,2019-11-18T17.33.14.744,0.101,-0.052,-0.028,-1.017
1574069594754,2019-11-18T17.33.14.754,0.111,-0.052,-0.028,-1.015
1574069594763,2019-11-18T17.33.14.763,0.120,-0.050,-0.029,-1.015
1574069594773,2019-11-18T17.33.14.773,0.130,-0.051,-0.031,-1.014
1574069594783,2019-11-18T17.33.14.783,0.140,-0.051,-0.030,-1.014
1574069594794,2019-11-18T17.33.14.794,0.151,-0.050,-0.030,-1.015
1574069594804,2019-11-18T17.33.14.804,0.161,-0.051,-0.029,-1.017
1574069594814,2019-11-18T17.33.14.814,0.171,-0.050,-0.030,-1.015
1574069594824,2019-11-18T17.33.14.824,0.181,-0.051,-0.029,-1.014
1574069594833,2019-11-18T17.33.14.833,0.190,-0.050,-0.029,-1.017
1574069594843,2019-11-18T17.33.14.843,0.200,-0.050,-0.028,-1.020
1574069594854,2019-11-18T17.33.14.854,0.211,-0.051,-0.030,-1.017
1574069594864,2019-11-18T17.33.14.864,0.221,-0.051,-0.030,-1.016
1574069594874,2019-11-18T17.33.14.874,0.231,-0.050,-0.030,-1.018
1574069594884,2019-11-18T17.33.14.884,0.241,-0.051,-0.029,-1.018
1574069594895,2019-11-18T17.33.14.895,0.252,-0.053,-0.028,-1.017
1574069594905,2019-11-18T17.33.14.905,0.262,-0.051,-0.029,-1.018
1574069594914,2019-11-18T17.33.14.914,0.271,-0.051,-0.031,-1.017
1574069594924,2019-11-18T17.33.14.924,0.281,-0.050,-0.031,-1.019
1574069594934,2019-11-18T17.33.14.934,0.291,-0.051,-0.028,-1.020
1574069594944,2019-11-18T17.33.14.944,0.301,-0.050,-0.030,-1.016
1574069594955,2019-11-18T17.33.14.955,0.312,-0.052,-0.030,-1.017
1574069594965,2019-11-18T17.33.14.965,0.322,-0.050,-0.030,-1.016
1574069594975,2019-11-18T17.33.14.975,0.332,-0.049,-0.030,-1.017
1574069594985,2019-11-18T17.33.14.985,0.342,-0.050,-0.029,-1.016
1574069594994,2019-11-18T17.33.14.994,0.351,-0.052,-0.033,-1.017
1574069595004,2019-11-18T17.33.15.004,0.361,-0.052,-0.030,-1.014
1574069595015,2019-11-18T17.33.15.015,0.372,-0.052,-0.029,-1.019
1574069595025,2019-11-18T17.33.15.025,0.382,-0.052,-0.031,-1.015
1574069595035,2019-11-18T17.33.15.035,0.392,-0.051,-0.030,-1.016
1574069595045,2019-11-18T17.33.15.045,0.402,-0.051,-0.029,-1.017
1574069595056,2019-11-18T17.33.15.056,0.413,-0.051,-0.029,-1.016
1574069595066,2019-11-18T17.33.15.066,0.423,-0.053,-0.031,-1.015
1574069595075,2019-11-18T17.33.15.075,0.432,-0.050,-0.030,-1.015
1574069595085,2019-11-18T17.33.15.085,0.442,-0.052,-0.029,-1.016
1574069595095,2019-11-18T17.33.15.095,0.452,-0.049,-0.033,-1.018
1574069595106,2019-11-18T17.33.15.106,0.463,-0.052,-0.030,-1.020
1574069595116,2019-11-18T17.33.15.116,0.473,-0.051,-0.027,-1.017
1574069595126,2019-11-18T17.33.15.126,0.483,-0.051,-0.029,-1.014
1574069595136,2019-11-18T17.33.15.136,0.493,-0.051,-0.029,-1.017
1574069595147,2019-11-18T17.33.15.147,0.504,-0.051,-0.028,-1.015
1574069595155,2019-11-18T17.33.15.155,0.512,-0.050,-0.028,-1.014
1574069595166,2019-11-18T17.33.15.166,0.523,-0.052,-0.026,-1.017
1574069595176,2019-11-18T17.33.15.176,0.533,-0.051,-0.029,-1.015
1574069595186,2019-11-18T17.33.15.186,0.543,-0.053,-0.031,-1.015
1574069595196,2019-11-18T17.33.15.196,0.553,-0.052,-0.028,-1.017
1574069595207,2019-11-18T17.33.15.207,0.564,-0.049,-0.031,-1.015
1574069595217,2019-11-18T17.33.15.217,0.574,-0.050,-0.030,-1.016
1574069595226,2019-11-18T17.33.15.226,0.583,-0.050,-0.031,-1.017
1574069595236,2019-11-18T17.33.15.236,0.593,-0.051,-0.028,-1.014
1574069595246,2019-11-18T17.33.15.246,0.603,-0.052,-0.027,-1.017
1574069595256,2019-11-18T17.33.15.256,0.613,-0.053,-0.028,-1.016
1574069595267,2019-11-18T17.33.15.267,0.624,-0.052,-0.030,-1.019
1574069595277,2019-11-18T17.33.15.277,0.634,-0.051,-0.029,-1.016
1574069595287,2019-11-18T17.33.15.287,0.644,-0.051,-0.029,-1.017
1574069595297,2019-11-18T17.33.15.297,0.654,-0.052,-0.029,-1.017
1574069595308,2019-11-18T17.33.15.308,0.665,-0.051,-0.031,-1.015
1574069595316,2019-11-18T17.33.15.316,0.673,-0.051,-0.030,-1.015
1574069595327,2019-11-18T17.33.15.327,0.684,-0.053,-0.029,-1.016
1574069595337,2019-11-18T17.33.15.337,0.694,-0.051,-0.031,-1.017
1574069595347,2019-11-18T17.33.15.347,0.704,-0.049,-0.029,-1.015
1574069595357,2019-11-18T17.33.15.357,0.714,-0.054,-0.029,-1.014
1574069595368,2019-11-18T17.33.15.368,0.725,-0.052,-0.029,-1.018
1574069595378,2019-11-18T17.33.15.378,0.735,-0.051,-0.029,-1.015
1574069595387,2019-11-18T17.33.15.387,0.744,-0.053,-0.029,-1.014
1574069595397,2019-11-18T17.33.15.397,0.754,-0.052,-0.028,-1.016
1574069595407,2019-11-18T17.33.15.407,0.764,-0.051,-0.029,-1.018
1574069595418,2019-11-18T17.33.15.418,0.775,-0.053,-0.027,-1.016
1574069595428,2019-11-18T17.33.15.428,0.785,-0.052,-0.029,-1.019
1574069595438,2019-11-18T17.33.15.438,0.795,-0.050,-0.029,-1.015
1574069595448,2019-11-18T17.33.15.448,0.805,-0.051,-0.029,-1.016
1574069595459,2019-11-18T17.33.15.459,0.816,-0.051,-0.029,-1.015
1574069595467,2019-11-18T17.33.15.467,0.824,-0.053,-0.030,-1.016
1574069595478,2019-11-18T17.33.15.478,0.835,-0.053,-0.030,-1.014
1574069595488,2019-11-18T17.33.15.488,0.845,-0.052,-0.028,-1.017
1574069595498,2019-11-18T17.33.15.498,0.855,-0.052,-0.030,-1.017
1574069595508,2019-11-18T17.33.15.508,0.865,-0.051,-0.030,-1.016
1574069595519,2019-11-18T17.33.15.519,0.876,-0.052,-0.028,-1.016
1574069595529,2019-11-18T17.33.15.529,0.886,-0.050,-0.027,-1.014
1574069595539,2019-11-18T17.33.15.539,0.896,-0.052,-0.029,-1.016
1574069595549,2019-11-18T17.33.15.549,0.906,-0.051,-0.030,-1.017
1574069595558,2019-11-18T17.33.15.558,0.915,-0.050,-0.028,-1.014
1574069595568,2019-11-18T17.33.15.568,0.925,-0.052,-0.030,-1.015
1574069595579,2019-11-18T17.33.15.579,0.936,-0.051,-0.029,-1.016
1574069595589,2019-11-18T17.33.15.589,0.946,-0.052,-0.028,-1.016
1574069595599,2019-11-18T17.33.15.599,0.956,-0.051,-0.028,-1.016
1574069595609,2019-11-18T17.33.15.609,0.966,-0.052,-0.028,-1.015
1574069595620,2019-11-18T17.33.15.620,0.977,-0.053,-0.029,-1.016
1574069595628,2019-11-18T17.33.15.628,0.985,-0.051,-0.030,-1.016
1574069595639,2019-11-18T17.33.15.639,0.996,-0.051,-0.030,-1.016
1574069595649,2019-11-18T17.33.15.649,1.006,-0.051,-0.031,-1.013
1574069595659,2019-11-18T17.33.15.659,1.016,-0.052,-0.027,-1.015
