epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1574069594663,2019-11-18T17.33.14.663,0.000,0.976,0.000,-0.305
1574069594673,2019-11-18T17.33.14.673,0.010,0.671,0.305,-0.244
1574069594682,2019-11-18T17.33.14.682,0.019,0.671,-0.061,-0.366
1574069594692,2019-11-18T17.33.14.692,0.029,0.732,-0.061,-0.244
1574069594703,2019-11-18T17.33.14.703,0.040,0.793,0.061,-0.305
1574069594713,2019-11-18T17.33.14.713,0.050,0.732,0.000,-0.305
1574069594723,2019-11-18T17.33.14.723,0.060,0.793,-0.061,-0.244
1574069594733,2019-11-18T17.33.14.733,0.070,0.732,0.000,-0.366
1574069594744,2019-11-18T17.33.14.744,0.081,0.732,0.061,-0.305
1574069594754,2019-11-18T17.33.14.754,0.091,0.732,0.000,-0.427
1574069594763,2019-11-18T17.33.14.763,0.100,0.732,0.061,-0.427
1574069594773,2019-11-18T17.33.14.773,0.110,0.732,0.061,-0.305
1574069594783,2019-11-18T17.33.14.783,0.120,0.732,0.000,-0.244
1574069594794,2019-11-18T17.33.14.794,0.131,0.793,0.000,-0.366
1574069594804,2019-11-18T17.33.14.804,0.141,0.732,0.061,-0.305
1574069594814,2019-11-18T17.33.14.814,0.151,0.671,0.061,-0.244
1574069594824,2019-11-18T17.33.14.824,0.161,0.671,0.000,-0.305
1574069594833,2019-11-18T17.33.14.833,0.170,0.732,0.061,-0.305
1574069594843,2019-11-18T17.33.14.843,0.180,0.793,0.000,-0.305
1574069594854,2019-11-18T17.33.14.854,0.191,0.671,0.061,-0.305
1574069594864,2019-11-18T17.33.14.864,0.201,0.732,-0.061,-0.366
1574069594874,2019-11-18T17.33.14.874,0.211,0.732,-0.061,-0.305
1574069594884,2019-11-18T17.33.14.884,0.221,0.793,0.061,-0.305
1574069594895,2019-11-18T17.33.14.895,0.232,0.793,-0.061,-0.366
1574069594905,2019-11-18T17.33.14.905,0.242,0.793,0.000,-0.366
1574069594914,2019-11-18T17.33.14.914,0.251,0.610,-0.061,-0.244
1574069594924,2019-11-18T17.33.14.924,0.261,0.732,0.000,-0.366
