epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574069853151,2019-11-18T17.37.33.151,0.000,-0.006,0.003,-1.028
1574069853161,2019-11-18T17.37.33.161,0.010,-0.006,0.001,-1.040
1574069853172,2019-11-18T17.37.33.172,0.021,-0.005,0.000,-1.035
1574069853182,2019-11-18T17.37.33.182,0.031,-0.006,0.002,-1.038
1574069853192,2019-11-18T17.37.33.192,0.041,-0.006,0.002,-1.038
1574069853202,2019-11-18T17.37.33.202,0.051,-0.005,0.002,-1.038
1574069853211,2019-11-18T17.37.33.211,0.060,-0.005,0.002,-1.042
1574069853222,2019-11-18T17.37.33.222,0.071,-0.007,0.002,-1.040
1574069853232,2019-11-18T17.37.33.232,0.081,-0.005,0.001,-1.034
1574069853242,2019-11-18T17.37.33.242,0.091,-0.004,0.005,-1.036
1574069853252,2019-11-18T17.37.33.252,0.101,-0.004,0.004,-1.040
1574069853263,2019-11-18T17.37.33.263,0.112,-0.006,0.002,-1.037
1574069853273,2019-11-18T17.37.33.273,0.122,-0.006,0.003,-1.038
1574069853282,2019-11-18T17.37.33.282,0.131,-0.009,0.004,-1.040
1574069853292,2019-11-18T17.37.33.292,0.141,-0.004,0.003,-1.039
1574069853302,2019-11-18T17.37.33.302,0.151,-0.005,0.003,-1.038
1574069853312,2019-11-18T17.37.33.312,0.161,-0.008,0.004,-1.039
1574069853323,2019-11-18T17.37.33.323,0.172,-0.007,0.001,-1.040
1574069853333,2019-11-18T17.37.33.333,0.182,-0.005,0.002,-1.037
1574069853342,2019-11-18T17.37.33.342,0.191,-0.005,0.005,-1.038
1574069853352,2019-11-18T17.37.33.352,0.201,-0.006,0.003,-1.041
1574069853362,2019-11-18T17.37.33.362,0.211,-0.006,0.002,-1.039
1574069853372,2019-11-18T17.37.33.372,0.221,-0.004,0.004,-1.036
1574069853383,2019-11-18T17.37.33.383,0.232,-0.005,0.002,-1.038
1574069853393,2019-11-18T17.37.33.393,0.242,-0.004,0.002,-1.036
1574069853403,2019-11-18T17.37.33.403,0.252,-0.006,0.002,-1.037
1574069853412,2019-11-18T17.37.33.412,0.261,-0.007,0.002,-1.037
1574069853422,2019-11-18T17.37.33.422,0.271,-0.006,0.001,-1.042
1574069853432,2019-11-18T17.37.33.432,0.281,-0.006,0.003,-1.040
1574069853443,2019-11-18T17.37.33.443,0.292,-0.006,0.002,-1.038
1574069853453,2019-11-18T17.37.33.453,0.302,-0.005,0.003,-1.039
