epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574070566858,2019-11-18T17.49.26.858,0.000,-0.027,-0.079,-1.038
1574070566869,2019-11-18T17.49.26.869,0.011,-0.031,-0.079,-1.048
1574070566877,2019-11-18T17.49.26.877,0.019,-0.029,-0.080,-1.046
1574070566888,2019-11-18T17.49.26.888,0.030,-0.029,-0.079,-1.045
1574070566898,2019-11-18T17.49.26.898,0.040,-0.027,-0.078,-1.046
1574070566908,2019-11-18T17.49.26.908,0.050,-0.026,-0.079,-1.043
1574070566918,2019-11-18T17.49.26.918,0.060,-0.028,-0.079,-1.045
1574070566929,2019-11-18T17.49.26.929,0.071,-0.028,-0.078,-1.049
1574070566939,2019-11-18T17.49.26.939,0.081,-0.024,-0.079,-1.048
1574070566949,2019-11-18T17.49.26.949,0.091,-0.027,-0.079,-1.046
1574070566959,2019-11-18T17.49.26.959,0.101,-0.026,-0.080,-1.044
1574070566970,2019-11-18T17.49.26.970,0.112,-0.025,-0.078,-1.043
1574070566980,2019-11-18T17.49.26.980,0.122,-0.024,-0.080,-1.044
1574070566989,2019-11-18T17.49.26.989,0.131,-0.028,-0.080,-1.047
1574070566999,2019-11-18T17.49.26.999,0.141,-0.032,-0.079,-1.046
1574070567009,2019-11-18T17.49.27.009,0.151,-0.027,-0.077,-1.047
1574070567019,2019-11-18T17.49.27.019,0.161,-0.029,-0.078,-1.047
1574070567030,2019-11-18T17.49.27.030,0.172,-0.028,-0.079,-1.046
1574070567040,2019-11-18T17.49.27.040,0.182,-0.026,-0.079,-1.044
1574070567050,2019-11-18T17.49.27.050,0.192,-0.028,-0.079,-1.042
1574070567060,2019-11-18T17.49.27.060,0.202,-0.028,-0.078,-1.045
1574070567071,2019-11-18T17.49.27.071,0.213,-0.027,-0.080,-1.046
1574070567081,2019-11-18T17.49.27.081,0.223,-0.027,-0.078,-1.046
1574070567090,2019-11-18T17.49.27.090,0.232,-0.028,-0.077,-1.046
1574070567100,2019-11-18T17.49.27.100,0.242,-0.028,-0.079,-1.046
1574070567110,2019-11-18T17.49.27.110,0.252,-0.028,-0.080,-1.045
1574070567121,2019-11-18T17.49.27.121,0.263,-0.028,-0.077,-1.045
1574070567131,2019-11-18T17.49.27.131,0.273,-0.026,-0.077,-1.045
1574070567141,2019-11-18T17.49.27.141,0.283,-0.024,-0.078,-1.045
1574070567151,2019-11-18T17.49.27.151,0.293,-0.026,-0.078,-1.046
1574070567162,2019-11-18T17.49.27.162,0.304,-0.028,-0.080,-1.044
1574070567172,2019-11-18T17.49.27.172,0.314,-0.028,-0.082,-1.046
1574070567182,2019-11-18T17.49.27.182,0.324,-0.029,-0.079,-1.045
1574070567191,2019-11-18T17.49.27.191,0.333,-0.027,-0.079,-1.046
1574070567201,2019-11-18T17.49.27.201,0.343,-0.026,-0.078,-1.043
1574070567211,2019-11-18T17.49.27.211,0.353,-0.028,-0.079,-1.043
1574070567222,2019-11-18T17.49.27.222,0.364,-0.028,-0.078,-1.043
1574070567232,2019-11-18T17.49.27.232,0.374,-0.026,-0.079,-1.044
1574070567242,2019-11-18T17.49.27.242,0.384,-0.027,-0.080,-1.046
1574070567252,2019-11-18T17.49.27.252,0.394,-0.026,-0.079,-1.045
1574070567263,2019-11-18T17.49.27.263,0.405,-0.027,-0.078,-1.045
1574070567273,2019-11-18T17.49.27.273,0.415,-0.027,-0.080,-1.044
1574070567283,2019-11-18T17.49.27.283,0.425,-0.026,-0.080,-1.046
1574070567292,2019-11-18T17.49.27.292,0.434,-0.025,-0.079,-1.043
1574070567302,2019-11-18T17.49.27.302,0.444,-0.028,-0.079,-1.044
1574070567312,2019-11-18T17.49.27.312,0.454,-0.024,-0.080,-1.045
1574070567323,2019-11-18T17.49.27.323,0.465,-0.026,-0.079,-1.042
1574070567333,2019-11-18T17.49.27.333,0.475,-0.025,-0.079,-1.042
1574070567343,2019-11-18T17.49.27.343,0.485,-0.029,-0.080,-1.045
1574070567353,2019-11-18T17.49.27.353,0.495,-0.028,-0.082,-1.045
1574070567364,2019-11-18T17.49.27.364,0.506,-0.027,-0.079,-1.044
1574070567374,2019-11-18T17.49.27.374,0.516,-0.027,-0.079,-1.042
1574070567384,2019-11-18T17.49.27.384,0.526,-0.030,-0.078,-1.045
1574070567393,2019-11-18T17.49.27.393,0.535,-0.028,-0.077,-1.048
1574070567403,2019-11-18T17.49.27.403,0.545,-0.027,-0.080,-1.044
1574070567414,2019-11-18T17.49.27.414,0.556,-0.026,-0.080,-1.045
1574070567424,2019-11-18T17.49.27.424,0.566,-0.026,-0.077,-1.045
1574070567434,2019-11-18T17.49.27.434,0.576,-0.028,-0.078,-1.044
1574070567444,2019-11-18T17.49.27.444,0.586,-0.027,-0.080,-1.042
1574070567455,2019-11-18T17.49.27.455,0.597,-0.028,-0.079,-1.043
1574070567465,2019-11-18T17.49.27.465,0.607,-0.027,-0.080,-1.045
1574070567475,2019-11-18T17.49.27.475,0.617,-0.027,-0.081,-1.044
1574070567485,2019-11-18T17.49.27.485,0.627,-0.029,-0.078,-1.044
1574070567496,2019-11-18T17.49.27.496,0.638,-0.027,-0.077,-1.046
1574070567504,2019-11-18T17.49.27.504,0.646,-0.027,-0.080,-1.046
1574070567515,2019-11-18T17.49.27.515,0.657,-0.026,-0.080,-1.045
1574070567525,2019-11-18T17.49.27.525,0.667,-0.027,-0.079,-1.043
1574070567535,2019-11-18T17.49.27.535,0.677,-0.026,-0.079,-1.046
1574070567545,2019-11-18T17.49.27.545,0.687,-0.028,-0.079,-1.044
1574070567556,2019-11-18T17.49.27.556,0.698,-0.031,-0.080,-1.046
1574070567566,2019-11-18T17.49.27.566,0.708,-0.028,-0.079,-1.045
1574070567576,2019-11-18T17.49.27.576,0.718,-0.028,-0.079,-1.044
1574070567586,2019-11-18T17.49.27.586,0.728,-0.029,-0.080,-1.043
1574070567597,2019-11-18T17.49.27.597,0.739,-0.030,-0.077,-1.045
1574070567605,2019-11-18T17.49.27.605,0.747,-0.027,-0.079,-1.046
1574070567616,2019-11-18T17.49.27.616,0.758,-0.025,-0.080,-1.045
1574070567626,2019-11-18T17.49.27.626,0.768,-0.028,-0.081,-1.046
1574070567636,2019-11-18T17.49.27.636,0.778,-0.028,-0.079,-1.043
1574070567646,2019-11-18T17.49.27.646,0.788,-0.026,-0.079,-1.044
1574070567657,2019-11-18T17.49.27.657,0.799,-0.026,-0.080,-1.046
1574070567667,2019-11-18T17.49.27.667,0.809,-0.027,-0.081,-1.044
1574070567677,2019-11-18T17.49.27.677,0.819,-0.028,-0.079,-1.045
1574070567687,2019-11-18T17.49.27.687,0.829,-0.026,-0.078,-1.046
1574070567698,2019-11-18T17.49.27.698,0.840,-0.026,-0.080,-1.045
