epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1574070566869,2019-11-18T17.49.26.869,0.000,-0.305,-0.183,-0.854
1574070566879,2019-11-18T17.49.26.879,0.010,0.000,-0.610,-0.183
1574070566888,2019-11-18T17.49.26.888,0.019,-0.122,-0.366,-0.305
1574070566898,2019-11-18T17.49.26.898,0.029,-0.122,-0.305,-0.427
1574070566908,2019-11-18T17.49.26.908,0.039,-0.122,-0.305,-0.366
1574070566918,2019-11-18T17.49.26.918,0.049,-0.122,-0.244,-0.366
1574070566929,2019-11-18T17.49.26.929,0.060,-0.183,-0.305,-0.366
1574070566939,2019-11-18T17.49.26.939,0.070,-0.183,-0.244,-0.366
1574070566949,2019-11-18T17.49.26.949,0.080,-0.122,-0.122,-0.244
1574070566959,2019-11-18T17.49.26.959,0.090,-0.061,-0.244,-0.305
1574070566970,2019-11-18T17.49.26.970,0.101,-0.061,-0.305,-0.305
1574070566980,2019-11-18T17.49.26.980,0.111,0.000,-0.305,-0.366
1574070566989,2019-11-18T17.49.26.989,0.120,-0.183,-0.244,-0.427
1574070566999,2019-11-18T17.49.26.999,0.130,-0.122,-0.305,-0.366
1574070567009,2019-11-18T17.49.27.009,0.140,-0.122,-0.305,-0.305
1574070567019,2019-11-18T17.49.27.019,0.150,-0.122,-0.366,-0.366
1574070567030,2019-11-18T17.49.27.030,0.161,-0.061,-0.305,-0.366
1574070567040,2019-11-18T17.49.27.040,0.171,-0.122,-0.244,-0.305
1574070567050,2019-11-18T17.49.27.050,0.181,-0.183,-0.244,-0.366
1574070567060,2019-11-18T17.49.27.060,0.191,-0.122,-0.244,-0.366
1574070567071,2019-11-18T17.49.27.071,0.202,-0.183,-0.244,-0.244
1574070567081,2019-11-18T17.49.27.081,0.212,-0.244,-0.244,-0.305
1574070567090,2019-11-18T17.49.27.090,0.221,-0.183,-0.183,-0.366
1574070567100,2019-11-18T17.49.27.100,0.231,-0.122,-0.244,-0.366
1574070567110,2019-11-18T17.49.27.110,0.241,-0.183,-0.244,-0.305
1574070567121,2019-11-18T17.49.27.121,0.252,-0.122,-0.305,-0.305
1574070567131,2019-11-18T17.49.27.131,0.262,-0.183,-0.305,-0.305
1574070567141,2019-11-18T17.49.27.141,0.272,-0.122,-0.244,-0.305
1574070567151,2019-11-18T17.49.27.151,0.282,-0.183,-0.244,-0.366
1574070567162,2019-11-18T17.49.27.162,0.293,-0.122,-0.244,-0.366
1574070567172,2019-11-18T17.49.27.172,0.303,-0.183,-0.305,-0.305
1574070567182,2019-11-18T17.49.27.182,0.313,-0.183,-0.305,-0.305
1574070567191,2019-11-18T17.49.27.191,0.322,-0.122,-0.305,-0.366
1574070567201,2019-11-18T17.49.27.201,0.332,-0.122,-0.305,-0.366
1574070567211,2019-11-18T17.49.27.211,0.342,-0.244,-0.244,-0.244
1574070567222,2019-11-18T17.49.27.222,0.353,-0.183,-0.305,-0.244
1574070567232,2019-11-18T17.49.27.232,0.363,-0.183,-0.183,-0.305
1574070567242,2019-11-18T17.49.27.242,0.373,-0.122,-0.183,-0.305
1574070567252,2019-11-18T17.49.27.252,0.383,-0.122,-0.244,-0.366
1574070567263,2019-11-18T17.49.27.263,0.394,-0.183,-0.244,-0.427
1574070567273,2019-11-18T17.49.27.273,0.404,-0.183,-0.244,-0.366
1574070567283,2019-11-18T17.49.27.283,0.414,-0.122,-0.305,-0.366
1574070567292,2019-11-18T17.49.27.292,0.423,-0.244,-0.305,-0.305
1574070567302,2019-11-18T17.49.27.302,0.433,-0.183,-0.305,-0.305
1574070567312,2019-11-18T17.49.27.312,0.443,0.000,-0.244,-0.366
1574070567323,2019-11-18T17.49.27.323,0.454,-0.183,-0.305,-0.366
1574070567333,2019-11-18T17.49.27.333,0.464,-0.183,-0.305,-0.366
1574070567343,2019-11-18T17.49.27.343,0.474,-0.122,-0.244,-0.427
1574070567353,2019-11-18T17.49.27.353,0.484,-0.122,-0.305,-0.305
1574070567364,2019-11-18T17.49.27.364,0.495,-0.183,-0.366,-0.305
1574070567374,2019-11-18T17.49.27.374,0.505,-0.122,-0.305,-0.366
1574070567384,2019-11-18T17.49.27.384,0.515,-0.183,-0.305,-0.305
1574070567394,2019-11-18T17.49.27.394,0.525,-0.183,-0.305,-0.305
1574070567403,2019-11-18T17.49.27.403,0.534,-0.122,-0.305,-0.244
1574070567414,2019-11-18T17.49.27.414,0.545,-0.183,-0.244,-0.366
1574070567424,2019-11-18T17.49.27.424,0.555,-0.061,-0.305,-0.366
1574070567434,2019-11-18T17.49.27.434,0.565,-0.061,-0.305,-0.305
1574070567444,2019-11-18T17.49.27.444,0.575,-0.061,-0.366,-0.305
1574070567455,2019-11-18T17.49.27.455,0.586,-0.061,-0.305,-0.305
1574070567465,2019-11-18T17.49.27.465,0.596,-0.183,-0.305,-0.305
1574070567475,2019-11-18T17.49.27.475,0.606,-0.244,-0.305,-0.366
1574070567485,2019-11-18T17.49.27.485,0.616,-0.061,-0.244,-0.366
1574070567496,2019-11-18T17.49.27.496,0.627,-0.183,-0.244,-0.366
1574070567504,2019-11-18T17.49.27.504,0.635,-0.183,-0.305,-0.305
1574070567515,2019-11-18T17.49.27.515,0.646,-0.244,-0.305,-0.305
1574070567525,2019-11-18T17.49.27.525,0.656,-0.122,-0.183,-0.244
1574070567535,2019-11-18T17.49.27.535,0.666,-0.183,-0.305,-0.366
1574070567545,2019-11-18T17.49.27.545,0.676,-0.244,-0.244,-0.366
1574070567556,2019-11-18T17.49.27.556,0.687,-0.183,-0.183,-0.244
1574070567566,2019-11-18T17.49.27.566,0.697,-0.122,-0.183,-0.244
1574070567576,2019-11-18T17.49.27.576,0.707,-0.122,-0.244,-0.366
1574070567586,2019-11-18T17.49.27.586,0.717,-0.183,-0.244,-0.427
1574070567597,2019-11-18T17.49.27.597,0.728,-0.061,-0.244,-0.244
1574070567605,2019-11-18T17.49.27.605,0.736,-0.122,-0.305,-0.244
1574070567616,2019-11-18T17.49.27.616,0.747,-0.122,-0.305,-0.366
1574070567626,2019-11-18T17.49.27.626,0.757,-0.122,-0.366,-0.366
1574070567636,2019-11-18T17.49.27.636,0.767,-0.183,-0.305,-0.244
1574070567646,2019-11-18T17.49.27.646,0.777,-0.244,-0.244,-0.305
1574070567657,2019-11-18T17.49.27.657,0.788,-0.183,-0.244,-0.244
1574070567667,2019-11-18T17.49.27.667,0.798,-0.122,-0.244,-0.366
1574070567677,2019-11-18T17.49.27.677,0.808,-0.122,-0.305,-0.366
1574070567687,2019-11-18T17.49.27.687,0.818,-0.183,-0.244,-0.366
1574070567698,2019-11-18T17.49.27.698,0.829,-0.183,-0.305,-0.427
1574070567708,2019-11-18T17.49.27.708,0.839,-0.183,-0.366,-0.366
1574070567717,2019-11-18T17.49.27.717,0.848,-0.183,-0.366,-0.366
1574070567727,2019-11-18T17.49.27.727,0.858,-0.122,-0.305,-0.305
1574070567737,2019-11-18T17.49.27.737,0.868,-0.122,-0.305,-0.305
1574070567747,2019-11-18T17.49.27.747,0.878,-0.061,-0.244,-0.366
1574070567758,2019-11-18T17.49.27.758,0.889,-0.183,-0.244,-0.366
1574070567768,2019-11-18T17.49.27.768,0.899,-0.183,-0.244,-0.366
