epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574070808579,2019-11-18T17.53.28.579,0.000,-0.019,-0.003,-1.012
1574070808589,2019-11-18T17.53.28.589,0.010,-0.018,-0.002,-1.017
1574070808600,2019-11-18T17.53.28.600,0.021,-0.016,-0.003,-1.014
1574070808610,2019-11-18T17.53.28.610,0.031,-0.017,-0.003,-1.017
1574070808620,2019-11-18T17.53.28.620,0.041,-0.018,-0.002,-1.017
1574070808629,2019-11-18T17.53.28.629,0.050,-0.019,-0.003,-1.018
1574070808639,2019-11-18T17.53.28.639,0.060,-0.021,-0.001,-1.016
1574070808649,2019-11-18T17.53.28.649,0.070,-0.017,-0.003,-1.015
1574070808660,2019-11-18T17.53.28.660,0.081,-0.017,-0.003,-1.015
1574070808670,2019-11-18T17.53.28.670,0.091,-0.018,-0.003,-1.017
1574070808680,2019-11-18T17.53.28.680,0.101,-0.017,-0.001,-1.017
1574070808690,2019-11-18T17.53.28.690,0.111,-0.018,-0.003,-1.018
1574070808701,2019-11-18T17.53.28.701,0.122,-0.016,-0.002,-1.013
1574070808711,2019-11-18T17.53.28.711,0.132,-0.018,-0.001,-1.018
1574070808721,2019-11-18T17.53.28.721,0.142,-0.019,-0.001,-1.020
1574070808731,2019-11-18T17.53.28.731,0.152,-0.021,-0.004,-1.015
1574070808740,2019-11-18T17.53.28.740,0.161,-0.018,-0.002,-1.016
1574070808750,2019-11-18T17.53.28.750,0.171,-0.018,-0.002,-1.020
1574070808761,2019-11-18T17.53.28.761,0.182,-0.019,-0.002,-1.017
1574070808771,2019-11-18T17.53.28.771,0.192,-0.018,-0.002,-1.017
1574070808781,2019-11-18T17.53.28.781,0.202,-0.019,-0.001,-1.017
1574070808791,2019-11-18T17.53.28.791,0.212,-0.019,-0.003,-1.020
1574070808802,2019-11-18T17.53.28.802,0.223,-0.017,-0.001,-1.020
1574070808812,2019-11-18T17.53.28.812,0.233,-0.018,-0.002,-1.017
1574070808822,2019-11-18T17.53.28.822,0.243,-0.017,-0.001,-1.016
1574070808832,2019-11-18T17.53.28.832,0.253,-0.017,-0.002,-1.017
1574070808841,2019-11-18T17.53.28.841,0.262,-0.019,-0.002,-1.018
1574070808851,2019-11-18T17.53.28.851,0.272,-0.018,-0.003,-1.019
1574070808862,2019-11-18T17.53.28.862,0.283,-0.015,-0.001,-1.017
1574070808872,2019-11-18T17.53.28.872,0.293,-0.019,-0.003,-1.017
1574070808882,2019-11-18T17.53.28.882,0.303,-0.017,-0.003,-1.018
1574070808892,2019-11-18T17.53.28.892,0.313,-0.018,0.000,-1.016
1574070808903,2019-11-18T17.53.28.903,0.324,-0.018,-0.001,-1.017
1574070808913,2019-11-18T17.53.28.913,0.334,-0.017,-0.002,-1.016
1574070808923,2019-11-18T17.53.28.923,0.344,-0.017,-0.003,-1.018
1574070808933,2019-11-18T17.53.28.933,0.354,-0.019,-0.003,-1.021
1574070808944,2019-11-18T17.53.28.944,0.365,-0.020,-0.001,-1.018
1574070808953,2019-11-18T17.53.28.953,0.374,-0.021,0.000,-1.017
1574070808963,2019-11-18T17.53.28.963,0.384,-0.018,-0.003,-1.015
1574070808973,2019-11-18T17.53.28.973,0.394,-0.019,-0.002,-1.015
1574070808983,2019-11-18T17.53.28.983,0.404,-0.018,-0.002,-1.015
1574070808994,2019-11-18T17.53.28.994,0.415,-0.018,-0.002,-1.017
1574070809004,2019-11-18T17.53.29.004,0.425,-0.018,-0.003,-1.016
1574070809014,2019-11-18T17.53.29.014,0.435,-0.018,-0.003,-1.016
