epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1574070808589,2019-11-18T17.53.28.589,0.000,0.000,-0.122,-0.305
1574070808600,2019-11-18T17.53.28.600,0.011,-0.366,0.061,-0.183
1574070808610,2019-11-18T17.53.28.610,0.021,-0.122,0.000,-0.305
1574070808620,2019-11-18T17.53.28.620,0.031,-0.183,0.000,-0.244
1574070808630,2019-11-18T17.53.28.630,0.041,-0.122,-0.061,-0.183
1574070808639,2019-11-18T17.53.28.639,0.050,-0.122,0.000,-0.244
1574070808649,2019-11-18T17.53.28.649,0.060,-0.122,0.000,-0.244
1574070808660,2019-11-18T17.53.28.660,0.071,-0.122,0.000,-0.305
1574070808670,2019-11-18T17.53.28.670,0.081,-0.183,0.061,-0.305
1574070808680,2019-11-18T17.53.28.680,0.091,-0.183,0.000,-0.244
1574070808690,2019-11-18T17.53.28.690,0.101,-0.122,-0.061,-0.366
1574070808701,2019-11-18T17.53.28.701,0.112,-0.061,-0.061,-0.366
1574070808711,2019-11-18T17.53.28.711,0.122,-0.122,0.000,-0.305
1574070808721,2019-11-18T17.53.28.721,0.132,-0.061,0.000,-0.244
1574070808731,2019-11-18T17.53.28.731,0.142,-0.061,0.000,-0.244
1574070808740,2019-11-18T17.53.28.740,0.151,-0.183,0.000,-0.183
1574070808750,2019-11-18T17.53.28.750,0.161,-0.183,-0.061,-0.244
1574070808761,2019-11-18T17.53.28.761,0.172,-0.122,-0.061,-0.183
1574070808771,2019-11-18T17.53.28.771,0.182,-0.061,0.000,-0.305
1574070808781,2019-11-18T17.53.28.781,0.192,-0.061,-0.122,-0.244
1574070808791,2019-11-18T17.53.28.791,0.202,-0.122,-0.061,-0.244
1574070808802,2019-11-18T17.53.28.802,0.213,-0.183,0.061,-0.305
1574070808812,2019-11-18T17.53.28.812,0.223,-0.244,0.000,-0.305
1574070808822,2019-11-18T17.53.28.822,0.233,-0.183,-0.061,-0.244
1574070808832,2019-11-18T17.53.28.832,0.243,-0.122,-0.061,-0.183
1574070808843,2019-11-18T17.53.28.843,0.254,-0.122,0.061,-0.183
1574070808851,2019-11-18T17.53.28.851,0.262,-0.122,-0.061,-0.244
1574070808862,2019-11-18T17.53.28.862,0.273,-0.061,-0.061,-0.244
1574070808872,2019-11-18T17.53.28.872,0.283,-0.061,0.000,-0.244
1574070808882,2019-11-18T17.53.28.882,0.293,-0.122,-0.061,-0.122
1574070808892,2019-11-18T17.53.28.892,0.303,-0.183,-0.061,-0.183
1574070808903,2019-11-18T17.53.28.903,0.314,-0.061,-0.061,-0.244
1574070808913,2019-11-18T17.53.28.913,0.324,-0.061,0.061,-0.366
1574070808923,2019-11-18T17.53.28.923,0.334,-0.061,0.000,-0.305
1574070808933,2019-11-18T17.53.28.933,0.344,-0.122,0.000,-0.244
1574070808944,2019-11-18T17.53.28.944,0.355,-0.183,-0.061,-0.244
1574070808953,2019-11-18T17.53.28.953,0.364,-0.122,-0.061,-0.244
1574070808963,2019-11-18T17.53.28.963,0.374,-0.122,-0.061,-0.305
1574070808973,2019-11-18T17.53.28.973,0.384,-0.122,0.000,-0.244
1574070808983,2019-11-18T17.53.28.983,0.394,-0.061,0.000,-0.244
1574070808994,2019-11-18T17.53.28.994,0.405,-0.061,0.061,-0.366
1574070809004,2019-11-18T17.53.29.004,0.415,-0.122,-0.061,-0.305
1574070809014,2019-11-18T17.53.29.014,0.425,-0.061,-0.061,-0.244
1574070809024,2019-11-18T17.53.29.024,0.435,-0.122,0.000,-0.305
1574070809035,2019-11-18T17.53.29.035,0.446,-0.183,0.061,-0.366
1574070809045,2019-11-18T17.53.29.045,0.456,-0.122,-0.061,-0.305
1574070809054,2019-11-18T17.53.29.054,0.465,-0.244,-0.061,-0.305
1574070809064,2019-11-18T17.53.29.064,0.475,-0.183,0.000,-0.366
1574070809074,2019-11-18T17.53.29.074,0.485,-0.122,0.000,-0.244
1574070809084,2019-11-18T17.53.29.084,0.495,-0.061,0.000,-0.305
1574070809095,2019-11-18T17.53.29.095,0.506,-0.061,0.000,-0.244
1574070809105,2019-11-18T17.53.29.105,0.516,-0.183,-0.061,-0.305
1574070809115,2019-11-18T17.53.29.115,0.526,-0.183,0.000,-0.305
1574070809125,2019-11-18T17.53.29.125,0.536,-0.122,0.000,-0.183
1574070809136,2019-11-18T17.53.29.136,0.547,-0.122,-0.061,-0.244
1574070809146,2019-11-18T17.53.29.146,0.557,-0.061,0.000,-0.305
1574070809155,2019-11-18T17.53.29.155,0.566,-0.122,-0.061,-0.305
1574070809165,2019-11-18T17.53.29.165,0.576,-0.122,-0.061,-0.244
1574070809175,2019-11-18T17.53.29.175,0.586,-0.244,0.000,-0.244
1574070809185,2019-11-18T17.53.29.185,0.596,-0.183,0.000,-0.244
1574070809196,2019-11-18T17.53.29.196,0.607,-0.122,0.000,-0.183
1574070809206,2019-11-18T17.53.29.206,0.617,-0.061,-0.122,-0.305
