epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574076768379,2019-11-18T19.32.48.379,0.000,-0.072,0.031,-1.010
1574076768389,2019-11-18T19.32.48.389,0.010,-0.072,0.030,-1.017
1574076768398,2019-11-18T19.32.48.398,0.019,-0.070,0.029,-1.019
1574076768408,2019-11-18T19.32.48.408,0.029,-0.071,0.031,-1.020
1574076768419,2019-11-18T19.32.48.419,0.040,-0.070,0.031,-1.019
1574076768429,2019-11-18T19.32.48.429,0.050,-0.073,0.031,-1.018
1574076768439,2019-11-18T19.32.48.439,0.060,-0.072,0.032,-1.018
1574076768449,2019-11-18T19.32.48.449,0.070,-0.073,0.030,-1.016
1574076768460,2019-11-18T19.32.48.460,0.081,-0.072,0.029,-1.017
1574076768470,2019-11-18T19.32.48.470,0.091,-0.073,0.029,-1.018
1574076768479,2019-11-18T19.32.48.479,0.100,-0.073,0.028,-1.019
1574076768489,2019-11-18T19.32.48.489,0.110,-0.071,0.030,-1.020
1574076768499,2019-11-18T19.32.48.499,0.120,-0.071,0.031,-1.016
1574076768509,2019-11-18T19.32.48.509,0.130,-0.070,0.031,-1.021
1574076768520,2019-11-18T19.32.48.520,0.141,-0.069,0.030,-1.019
1574076768530,2019-11-18T19.32.48.530,0.151,-0.071,0.030,-1.019
1574076768540,2019-11-18T19.32.48.540,0.161,-0.069,0.031,-1.020
1574076768550,2019-11-18T19.32.48.550,0.171,-0.070,0.030,-1.020
1574076768561,2019-11-18T19.32.48.561,0.182,-0.072,0.031,-1.018
1574076768569,2019-11-18T19.32.48.569,0.190,-0.071,0.032,-1.017
1574076768580,2019-11-18T19.32.48.580,0.201,-0.072,0.031,-1.017
1574076768590,2019-11-18T19.32.48.590,0.211,-0.072,0.029,-1.021
1574076768600,2019-11-18T19.32.48.600,0.221,-0.072,0.031,-1.018
1574076768611,2019-11-18T19.32.48.611,0.232,-0.071,0.030,-1.018
1574076768621,2019-11-18T19.32.48.621,0.242,-0.071,0.031,-1.019
1574076768631,2019-11-18T19.32.48.631,0.252,-0.075,0.030,-1.016
1574076768641,2019-11-18T19.32.48.641,0.262,-0.072,0.030,-1.018
1574076768650,2019-11-18T19.32.48.650,0.271,-0.071,0.031,-1.019
1574076768660,2019-11-18T19.32.48.660,0.281,-0.075,0.031,-1.019
1574076768671,2019-11-18T19.32.48.671,0.292,-0.073,0.032,-1.017
1574076768681,2019-11-18T19.32.48.681,0.302,-0.070,0.030,-1.018
1574076768691,2019-11-18T19.32.48.691,0.312,-0.071,0.031,-1.016
1574076768701,2019-11-18T19.32.48.701,0.322,-0.071,0.031,-1.018
1574076768712,2019-11-18T19.32.48.712,0.333,-0.072,0.030,-1.020
1574076768722,2019-11-18T19.32.48.722,0.343,-0.072,0.029,-1.017
1574076768732,2019-11-18T19.32.48.732,0.353,-0.073,0.030,-1.015
1574076768741,2019-11-18T19.32.48.741,0.362,-0.071,0.030,-1.014
1574076768751,2019-11-18T19.32.48.751,0.372,-0.071,0.030,-1.018
1574076768761,2019-11-18T19.32.48.761,0.382,-0.073,0.032,-1.019
1574076768772,2019-11-18T19.32.48.772,0.393,-0.071,0.031,-1.020
1574076768782,2019-11-18T19.32.48.782,0.403,-0.072,0.030,-1.019
1574076768792,2019-11-18T19.32.48.792,0.413,-0.072,0.029,-1.019
1574076768802,2019-11-18T19.32.48.802,0.423,-0.073,0.031,-1.016
1574076768813,2019-11-18T19.32.48.813,0.434,-0.071,0.030,-1.017
1574076768821,2019-11-18T19.32.48.821,0.442,-0.070,0.032,-1.018
1574076768832,2019-11-18T19.32.48.832,0.453,-0.070,0.031,-1.018
1574076768842,2019-11-18T19.32.48.842,0.463,-0.071,0.029,-1.016
1574076768852,2019-11-18T19.32.48.852,0.473,-0.074,0.031,-1.016
1574076768862,2019-11-18T19.32.48.862,0.483,-0.072,0.029,-1.015
1574076768873,2019-11-18T19.32.48.873,0.494,-0.069,0.031,-1.017
1574076768883,2019-11-18T19.32.48.883,0.504,-0.071,0.031,-1.018
1574076768893,2019-11-18T19.32.48.893,0.514,-0.073,0.031,-1.019
1574076768903,2019-11-18T19.32.48.903,0.524,-0.071,0.031,-1.019
1574076768912,2019-11-18T19.32.48.912,0.533,-0.071,0.029,-1.017
1574076768923,2019-11-18T19.32.48.923,0.544,-0.071,0.033,-1.018
1574076768933,2019-11-18T19.32.48.933,0.554,-0.070,0.031,-1.018
1574076768943,2019-11-18T19.32.48.943,0.564,-0.070,0.031,-1.017
1574076768953,2019-11-18T19.32.48.953,0.574,-0.073,0.032,-1.015
1574076768964,2019-11-18T19.32.48.964,0.585,-0.073,0.032,-1.017
1574076768974,2019-11-18T19.32.48.974,0.595,-0.071,0.030,-1.019
1574076768984,2019-11-18T19.32.48.984,0.605,-0.068,0.031,-1.019
1574076768993,2019-11-18T19.32.48.993,0.614,-0.069,0.029,-1.015
1574076769003,2019-11-18T19.32.49.003,0.624,-0.073,0.030,-1.020
1574076769013,2019-11-18T19.32.49.013,0.634,-0.073,0.030,-1.018
1574076769024,2019-11-18T19.32.49.024,0.645,-0.069,0.031,-1.018
1574076769034,2019-11-18T19.32.49.034,0.655,-0.072,0.030,-1.017
1574076769044,2019-11-18T19.32.49.044,0.665,-0.069,0.030,-1.019
1574076769054,2019-11-18T19.32.49.054,0.675,-0.073,0.031,-1.018
1574076769065,2019-11-18T19.32.49.065,0.686,-0.073,0.031,-1.018
1574076769075,2019-11-18T19.32.49.075,0.696,-0.070,0.031,-1.017
1574076769084,2019-11-18T19.32.49.084,0.705,-0.070,0.029,-1.016
1574076769094,2019-11-18T19.32.49.094,0.715,-0.070,0.031,-1.017
1574076769104,2019-11-18T19.32.49.104,0.725,-0.071,0.032,-1.019
1574076769114,2019-11-18T19.32.49.114,0.735,-0.071,0.028,-1.017
1574076769125,2019-11-18T19.32.49.125,0.746,-0.070,0.029,-1.015
1574076769135,2019-11-18T19.32.49.135,0.756,-0.074,0.031,-1.017
1574076769145,2019-11-18T19.32.49.145,0.766,-0.072,0.032,-1.016
1574076769155,2019-11-18T19.32.49.155,0.776,-0.071,0.031,-1.018
1574076769164,2019-11-18T19.32.49.164,0.785,-0.070,0.031,-1.017
1574076769174,2019-11-18T19.32.49.174,0.795,-0.073,0.031,-1.016
1574076769185,2019-11-18T19.32.49.185,0.806,-0.073,0.032,-1.018
1574076769195,2019-11-18T19.32.49.195,0.816,-0.073,0.032,-1.017
1574076769205,2019-11-18T19.32.49.205,0.826,-0.072,0.032,-1.017
1574076769215,2019-11-18T19.32.49.215,0.836,-0.073,0.033,-1.016
1574076769226,2019-11-18T19.32.49.226,0.847,-0.072,0.030,-1.019
1574076769236,2019-11-18T19.32.49.236,0.857,-0.072,0.028,-1.016
1574076769245,2019-11-18T19.32.49.245,0.866,-0.070,0.029,-1.016
1574076769255,2019-11-18T19.32.49.255,0.876,-0.070,0.028,-1.015
1574076769265,2019-11-18T19.32.49.265,0.886,-0.071,0.028,-1.016
1574076769276,2019-11-18T19.32.49.276,0.897,-0.070,0.030,-1.017
1574076769286,2019-11-18T19.32.49.286,0.907,-0.073,0.031,-1.015
1574076769296,2019-11-18T19.32.49.296,0.917,-0.070,0.031,-1.014
1574076769306,2019-11-18T19.32.49.306,0.927,-0.070,0.030,-1.015
1574076769317,2019-11-18T19.32.49.317,0.938,-0.069,0.032,-1.013
1574076769327,2019-11-18T19.32.49.327,0.948,-0.073,0.030,-1.018
1574076769336,2019-11-18T19.32.49.336,0.957,-0.072,0.030,-1.016
1574076769346,2019-11-18T19.32.49.346,0.967,-0.069,0.030,-1.015
1574076769356,2019-11-18T19.32.49.356,0.977,-0.070,0.032,-1.016
1574076769366,2019-11-18T19.32.49.366,0.987,-0.070,0.031,-1.017
1574076769377,2019-11-18T19.32.49.377,0.998,-0.069,0.030,-1.017
1574076769387,2019-11-18T19.32.49.387,1.008,-0.070,0.031,-1.018
1574076769397,2019-11-18T19.32.49.397,1.018,-0.072,0.030,-1.019
1574076769407,2019-11-18T19.32.49.407,1.028,-0.073,0.030,-1.017
1574076769418,2019-11-18T19.32.49.418,1.039,-0.073,0.031,-1.019
1574076769426,2019-11-18T19.32.49.426,1.047,-0.071,0.030,-1.014
1574076769437,2019-11-18T19.32.49.437,1.058,-0.071,0.029,-1.017
1574076769447,2019-11-18T19.32.49.447,1.068,-0.072,0.030,-1.016
1574076769457,2019-11-18T19.32.49.457,1.078,-0.071,0.029,-1.017
1574076769467,2019-11-18T19.32.49.467,1.088,-0.071,0.030,-1.017
1574076769478,2019-11-18T19.32.49.478,1.099,-0.072,0.031,-1.016
1574076769488,2019-11-18T19.32.49.488,1.109,-0.072,0.030,-1.019
1574076769498,2019-11-18T19.32.49.498,1.119,-0.071,0.030,-1.018
1574076769507,2019-11-18T19.32.49.507,1.128,-0.072,0.030,-1.015
1574076769517,2019-11-18T19.32.49.517,1.138,-0.072,0.030,-1.016
1574076769527,2019-11-18T19.32.49.527,1.148,-0.072,0.029,-1.018
1574076769538,2019-11-18T19.32.49.538,1.159,-0.072,0.029,-1.019
1574076769548,2019-11-18T19.32.49.548,1.169,-0.070,0.030,-1.015
1574076769558,2019-11-18T19.32.49.558,1.179,-0.068,0.031,-1.016
1574076769569,2019-11-18T19.32.49.569,1.190,-0.073,0.031,-1.014
1574076769579,2019-11-18T19.32.49.579,1.200,-0.070,0.032,-1.018
1574076769589,2019-11-18T19.32.49.589,1.210,-0.070,0.030,-1.020
1574076769598,2019-11-18T19.32.49.598,1.219,-0.072,0.031,-1.018
1574076769608,2019-11-18T19.32.49.608,1.229,-0.071,0.031,-1.019
1574076769618,2019-11-18T19.32.49.618,1.239,-0.070,0.032,-1.016
1574076769629,2019-11-18T19.32.49.629,1.250,-0.071,0.032,-1.018
1574076769639,2019-11-18T19.32.49.639,1.260,-0.074,0.030,-1.020
1574076769649,2019-11-18T19.32.49.649,1.270,-0.073,0.030,-1.018
1574076769659,2019-11-18T19.32.49.659,1.280,-0.071,0.031,-1.018
1574076769670,2019-11-18T19.32.49.670,1.291,-0.072,0.031,-1.016
1574076769678,2019-11-18T19.32.49.678,1.299,-0.074,0.029,-1.015
1574076769689,2019-11-18T19.32.49.689,1.310,-0.073,0.030,-1.017
1574076769699,2019-11-18T19.32.49.699,1.320,-0.073,0.030,-1.017
1574076769709,2019-11-18T19.32.49.709,1.330,-0.072,0.030,-1.015
1574076769719,2019-11-18T19.32.49.719,1.340,-0.072,0.030,-1.018
1574076769730,2019-11-18T19.32.49.730,1.351,-0.071,0.029,-1.015
1574076769740,2019-11-18T19.32.49.740,1.361,-0.071,0.033,-1.019
1574076769750,2019-11-18T19.32.49.750,1.371,-0.071,0.029,-1.020
1574076769760,2019-11-18T19.32.49.760,1.381,-0.071,0.031,-1.016
1574076769769,2019-11-18T19.32.49.769,1.390,-0.072,0.032,-1.016
1574076769779,2019-11-18T19.32.49.779,1.400,-0.069,0.031,-1.017
1574076769790,2019-11-18T19.32.49.790,1.411,-0.072,0.030,-1.016
1574076769800,2019-11-18T19.32.49.800,1.421,-0.071,0.031,-1.018
1574076769810,2019-11-18T19.32.49.810,1.431,-0.070,0.029,-1.015
1574076769820,2019-11-18T19.32.49.820,1.441,-0.072,0.030,-1.015
1574076769831,2019-11-18T19.32.49.831,1.452,-0.070,0.031,-1.016
1574076769841,2019-11-18T19.32.49.841,1.462,-0.070,0.033,-1.016
1574076769850,2019-11-18T19.32.49.850,1.471,-0.072,0.030,-1.016
1574076769860,2019-11-18T19.32.49.860,1.481,-0.072,0.030,-1.018
1574076769870,2019-11-18T19.32.49.870,1.491,-0.071,0.030,-1.016
1574076769881,2019-11-18T19.32.49.881,1.502,-0.068,0.028,-1.016
1574076769891,2019-11-18T19.32.49.891,1.512,-0.072,0.029,-1.017
1574076769901,2019-11-18T19.32.49.901,1.522,-0.074,0.032,-1.017
1574076769911,2019-11-18T19.32.49.911,1.532,-0.070,0.031,-1.016
1574076769922,2019-11-18T19.32.49.922,1.543,-0.070,0.031,-1.014
1574076769932,2019-11-18T19.32.49.932,1.553,-0.071,0.030,-1.017
1574076769941,2019-11-18T19.32.49.941,1.562,-0.070,0.032,-1.017
1574076769951,2019-11-18T19.32.49.951,1.572,-0.072,0.030,-1.017
1574076769961,2019-11-18T19.32.49.961,1.582,-0.074,0.028,-1.017
1574076769971,2019-11-18T19.32.49.971,1.592,-0.071,0.030,-1.017
1574076769982,2019-11-18T19.32.49.982,1.603,-0.073,0.031,-1.018
1574076769992,2019-11-18T19.32.49.992,1.613,-0.071,0.031,-1.017
1574076770002,2019-11-18T19.32.50.002,1.623,-0.072,0.031,-1.020
1574076770012,2019-11-18T19.32.50.012,1.633,-0.071,0.031,-1.017
1574076770021,2019-11-18T19.32.50.021,1.642,-0.071,0.030,-1.017
1574076770031,2019-11-18T19.32.50.031,1.652,-0.071,0.030,-1.016
1574076770042,2019-11-18T19.32.50.042,1.663,-0.072,0.032,-1.016
1574076770052,2019-11-18T19.32.50.052,1.673,-0.072,0.030,-1.018
1574076770062,2019-11-18T19.32.50.062,1.683,-0.070,0.029,-1.017
1574076770072,2019-11-18T19.32.50.072,1.693,-0.073,0.029,-1.016
1574076770083,2019-11-18T19.32.50.083,1.704,-0.071,0.032,-1.018
1574076770093,2019-11-18T19.32.50.093,1.714,-0.073,0.031,-1.017
1574076770103,2019-11-18T19.32.50.103,1.724,-0.072,0.031,-1.021
1574076770112,2019-11-18T19.32.50.112,1.733,-0.070,0.030,-1.019
1574076770122,2019-11-18T19.32.50.122,1.743,-0.071,0.031,-1.017
1574076770132,2019-11-18T19.32.50.132,1.753,-0.072,0.031,-1.013
1574076770143,2019-11-18T19.32.50.143,1.764,-0.071,0.026,-1.016
1574076770153,2019-11-18T19.32.50.153,1.774,-0.071,0.030,-1.018
1574076770163,2019-11-18T19.32.50.163,1.784,-0.073,0.032,-1.017
1574076770173,2019-11-18T19.32.50.173,1.794,-0.071,0.030,-1.018
1574076770184,2019-11-18T19.32.50.184,1.805,-0.069,0.029,-1.017
1574076770193,2019-11-18T19.32.50.193,1.814,-0.070,0.030,-1.017
1574076770203,2019-11-18T19.32.50.203,1.824,-0.073,0.032,-1.016
1574076770213,2019-11-18T19.32.50.213,1.834,-0.075,0.030,-1.018
1574076770223,2019-11-18T19.32.50.223,1.844,-0.071,0.030,-1.016
1574076770234,2019-11-18T19.32.50.234,1.855,-0.070,0.029,-1.015
1574076770244,2019-11-18T19.32.50.244,1.865,-0.072,0.028,-1.015
1574076770254,2019-11-18T19.32.50.254,1.875,-0.069,0.029,-1.018
1574076770264,2019-11-18T19.32.50.264,1.885,-0.071,0.030,-1.016
1574076770273,2019-11-18T19.32.50.273,1.894,-0.070,0.031,-1.015
1574076770283,2019-11-18T19.32.50.283,1.904,-0.071,0.029,-1.017
1574076770294,2019-11-18T19.32.50.294,1.915,-0.072,0.031,-1.019
1574076770304,2019-11-18T19.32.50.304,1.925,-0.071,0.031,-1.016
1574076770314,2019-11-18T19.32.50.314,1.935,-0.071,0.029,-1.017
1574076770324,2019-11-18T19.32.50.324,1.945,-0.069,0.031,-1.018
1574076770335,2019-11-18T19.32.50.335,1.956,-0.071,0.030,-1.016
1574076770345,2019-11-18T19.32.50.345,1.966,-0.072,0.029,-1.015
1574076770355,2019-11-18T19.32.50.355,1.976,-0.073,0.031,-1.016
1574076770364,2019-11-18T19.32.50.364,1.985,-0.075,0.032,-1.017
1574076770374,2019-11-18T19.32.50.374,1.995,-0.072,0.030,-1.016
1574076770384,2019-11-18T19.32.50.384,2.005,-0.074,0.031,-1.016
1574076770395,2019-11-18T19.32.50.395,2.016,-0.070,0.030,-1.018
1574076770405,2019-11-18T19.32.50.405,2.026,-0.072,0.029,-1.015
1574076770415,2019-11-18T19.32.50.415,2.036,-0.072,0.032,-1.014
1574076770425,2019-11-18T19.32.50.425,2.046,-0.071,0.031,-1.017
1574076770436,2019-11-18T19.32.50.436,2.057,-0.072,0.031,-1.017
1574076770446,2019-11-18T19.32.50.446,2.067,-0.072,0.030,-1.019
1574076770455,2019-11-18T19.32.50.455,2.076,-0.070,0.031,-1.018
1574076770465,2019-11-18T19.32.50.465,2.086,-0.072,0.030,-1.015
1574076770475,2019-11-18T19.32.50.475,2.096,-0.072,0.029,-1.016
1574076770486,2019-11-18T19.32.50.486,2.107,-0.070,0.029,-1.017
1574076770496,2019-11-18T19.32.50.496,2.117,-0.070,0.029,-1.018
1574076770506,2019-11-18T19.32.50.506,2.127,-0.071,0.030,-1.019
1574076770516,2019-11-18T19.32.50.516,2.137,-0.075,0.032,-1.020
1574076770527,2019-11-18T19.32.50.527,2.148,-0.071,0.031,-1.016
1574076770535,2019-11-18T19.32.50.535,2.156,-0.071,0.031,-1.018
1574076770546,2019-11-18T19.32.50.546,2.167,-0.072,0.030,-1.018
1574076770556,2019-11-18T19.32.50.556,2.177,-0.071,0.030,-1.016
1574076770566,2019-11-18T19.32.50.566,2.187,-0.072,0.029,-1.017
1574076770576,2019-11-18T19.32.50.576,2.197,-0.072,0.029,-1.016
1574076770587,2019-11-18T19.32.50.587,2.208,-0.072,0.030,-1.015
1574076770597,2019-11-18T19.32.50.597,2.218,-0.074,0.031,-1.014
1574076770607,2019-11-18T19.32.50.607,2.228,-0.072,0.030,-1.016
1574076770617,2019-11-18T19.32.50.617,2.238,-0.072,0.031,-1.018
1574076770626,2019-11-18T19.32.50.626,2.247,-0.072,0.031,-1.019
1574076770636,2019-11-18T19.32.50.636,2.257,-0.071,0.029,-1.017
1574076770647,2019-11-18T19.32.50.647,2.268,-0.072,0.031,-1.015
1574076770657,2019-11-18T19.32.50.657,2.278,-0.070,0.032,-1.016
1574076770667,2019-11-18T19.32.50.667,2.288,-0.072,0.029,-1.017
1574076770677,2019-11-18T19.32.50.677,2.298,-0.072,0.028,-1.016
1574076770688,2019-11-18T19.32.50.688,2.309,-0.070,0.031,-1.016
1574076770698,2019-11-18T19.32.50.698,2.319,-0.073,0.032,-1.017
1574076770707,2019-11-18T19.32.50.707,2.328,-0.072,0.030,-1.018
1574076770717,2019-11-18T19.32.50.717,2.338,-0.070,0.030,-1.016
1574076770727,2019-11-18T19.32.50.727,2.348,-0.074,0.029,-1.017
1574076770737,2019-11-18T19.32.50.737,2.358,-0.070,0.031,-1.014
1574076770748,2019-11-18T19.32.50.748,2.369,-0.072,0.032,-1.016
1574076770758,2019-11-18T19.32.50.758,2.379,-0.071,0.030,-1.018
1574076770768,2019-11-18T19.32.50.768,2.389,-0.072,0.029,-1.015
1574076770778,2019-11-18T19.32.50.778,2.399,-0.073,0.030,-1.016
1574076770789,2019-11-18T19.32.50.789,2.410,-0.073,0.031,-1.018
1574076770798,2019-11-18T19.32.50.798,2.419,-0.070,0.031,-1.017
1574076770808,2019-11-18T19.32.50.808,2.429,-0.071,0.031,-1.018
1574076770818,2019-11-18T19.32.50.818,2.439,-0.069,0.029,-1.015
1574076770828,2019-11-18T19.32.50.828,2.449,-0.070,0.031,-1.018
1574076770839,2019-11-18T19.32.50.839,2.460,-0.071,0.030,-1.015
1574076770849,2019-11-18T19.32.50.849,2.470,-0.071,0.030,-1.016
1574076770859,2019-11-18T19.32.50.859,2.480,-0.071,0.029,-1.019
1574076770869,2019-11-18T19.32.50.869,2.490,-0.070,0.029,-1.017
1574076770880,2019-11-18T19.32.50.880,2.501,-0.073,0.029,-1.017
1574076770888,2019-11-18T19.32.50.888,2.509,-0.072,0.030,-1.017
1574076770899,2019-11-18T19.32.50.899,2.520,-0.071,0.031,-1.017
1574076770909,2019-11-18T19.32.50.909,2.530,-0.072,0.029,-1.018
1574076770919,2019-11-18T19.32.50.919,2.540,-0.069,0.029,-1.017
1574076770929,2019-11-18T19.32.50.929,2.550,-0.073,0.030,-1.017
1574076770940,2019-11-18T19.32.50.940,2.561,-0.073,0.031,-1.017
1574076770950,2019-11-18T19.32.50.950,2.571,-0.072,0.030,-1.020
1574076770959,2019-11-18T19.32.50.959,2.580,-0.072,0.030,-1.016
1574076770969,2019-11-18T19.32.50.969,2.590,-0.073,0.031,-1.014
