epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1574076768389,2019-11-18T19.32.48.389,0.000,-0.061,-1.037,-0.183
1574076768398,2019-11-18T19.32.48.398,0.009,0.244,-1.159,0.000
1574076768408,2019-11-18T19.32.48.408,0.019,-0.305,-0.915,-0.183
1574076768419,2019-11-18T19.32.48.419,0.030,-0.244,-0.976,-0.305
1574076768429,2019-11-18T19.32.48.429,0.040,-0.244,-0.976,-0.244
1574076768439,2019-11-18T19.32.48.439,0.050,-0.305,-0.976,-0.244
1574076768449,2019-11-18T19.32.48.449,0.060,-0.305,-0.915,-0.244
1574076768460,2019-11-18T19.32.48.460,0.071,-0.305,-0.915,-0.183
1574076768470,2019-11-18T19.32.48.470,0.081,-0.244,-0.915,-0.305
1574076768479,2019-11-18T19.32.48.479,0.090,-0.305,-0.915,-0.305
1574076768489,2019-11-18T19.32.48.489,0.100,-0.366,-1.098,-0.183
1574076768499,2019-11-18T19.32.48.499,0.110,-0.305,-1.037,-0.305
1574076768509,2019-11-18T19.32.48.509,0.120,-0.427,-0.915,-0.244
1574076768520,2019-11-18T19.32.48.520,0.131,-0.366,-0.976,-0.305
1574076768530,2019-11-18T19.32.48.530,0.141,-0.305,-0.976,-0.244
1574076768540,2019-11-18T19.32.48.540,0.151,-0.244,-0.915,-0.305
1574076768550,2019-11-18T19.32.48.550,0.161,-0.305,-0.915,-0.244
1574076768561,2019-11-18T19.32.48.561,0.172,-0.305,-0.915,-0.244
1574076768569,2019-11-18T19.32.48.569,0.180,-0.244,-0.915,-0.244
1574076768580,2019-11-18T19.32.48.580,0.191,-0.305,-1.037,-0.244
1574076768590,2019-11-18T19.32.48.590,0.201,-0.305,-0.915,-0.244
1574076768600,2019-11-18T19.32.48.600,0.211,-0.305,-0.976,-0.244
1574076768611,2019-11-18T19.32.48.611,0.222,-0.122,-0.976,-0.305
1574076768621,2019-11-18T19.32.48.621,0.232,-0.183,-0.915,-0.244
1574076768631,2019-11-18T19.32.48.631,0.242,-0.366,-0.915,-0.244
1574076768641,2019-11-18T19.32.48.641,0.252,-0.305,-0.915,-0.244
1574076768650,2019-11-18T19.32.48.650,0.261,-0.305,-0.976,-0.244
1574076768660,2019-11-18T19.32.48.660,0.271,-0.305,-0.976,-0.244
1574076768671,2019-11-18T19.32.48.671,0.282,-0.366,-0.976,-0.183
1574076768681,2019-11-18T19.32.48.681,0.292,-0.305,-0.915,-0.183
1574076768691,2019-11-18T19.32.48.691,0.302,-0.305,-0.976,-0.183
1574076768701,2019-11-18T19.32.48.701,0.312,-0.183,-0.915,-0.305
1574076768712,2019-11-18T19.32.48.712,0.323,-0.122,-0.915,-0.183
1574076768722,2019-11-18T19.32.48.722,0.333,-0.244,-0.976,-0.183
1574076768732,2019-11-18T19.32.48.732,0.343,-0.244,-0.976,-0.244
1574076768741,2019-11-18T19.32.48.741,0.352,-0.244,-0.976,-0.244
1574076768751,2019-11-18T19.32.48.751,0.362,-0.305,-0.976,-0.244
1574076768761,2019-11-18T19.32.48.761,0.372,-0.305,-0.976,-0.244
1574076768772,2019-11-18T19.32.48.772,0.383,-0.244,-0.915,-0.244
1574076768782,2019-11-18T19.32.48.782,0.393,-0.183,-0.915,-0.244
1574076768792,2019-11-18T19.32.48.792,0.403,-0.183,-0.915,-0.183
1574076768802,2019-11-18T19.32.48.802,0.413,-0.183,-0.976,-0.183
1574076768813,2019-11-18T19.32.48.813,0.424,-0.305,-0.976,-0.244
1574076768821,2019-11-18T19.32.48.821,0.432,-0.366,-0.976,-0.244
1574076768832,2019-11-18T19.32.48.832,0.443,-0.244,-0.976,-0.244
1574076768842,2019-11-18T19.32.48.842,0.453,-0.183,-0.976,-0.244
1574076768852,2019-11-18T19.32.48.852,0.463,-0.183,-1.037,-0.183
1574076768862,2019-11-18T19.32.48.862,0.473,-0.183,-1.037,-0.244
1574076768873,2019-11-18T19.32.48.873,0.484,-0.305,-1.037,-0.244
1574076768883,2019-11-18T19.32.48.883,0.494,-0.305,-0.915,-0.305
1574076768893,2019-11-18T19.32.48.893,0.504,-0.305,-0.854,-0.244
1574076768903,2019-11-18T19.32.48.903,0.514,-0.183,-0.915,-0.183
1574076768912,2019-11-18T19.32.48.912,0.523,-0.244,-0.915,-0.244
1574076768923,2019-11-18T19.32.48.923,0.534,-0.305,-0.976,-0.244
1574076768933,2019-11-18T19.32.48.933,0.544,-0.305,-1.037,-0.244
1574076768943,2019-11-18T19.32.48.943,0.554,-0.183,-0.976,-0.305
1574076768953,2019-11-18T19.32.48.953,0.564,-0.183,-0.915,-0.183
1574076768964,2019-11-18T19.32.48.964,0.575,-0.244,-0.976,-0.244
1574076768974,2019-11-18T19.32.48.974,0.585,-0.183,-1.037,-0.244
1574076768984,2019-11-18T19.32.48.984,0.595,-0.183,-0.915,-0.244
1574076768993,2019-11-18T19.32.48.993,0.604,-0.244,-0.915,-0.244
1574076769003,2019-11-18T19.32.49.003,0.614,-0.305,-0.976,-0.244
1574076769013,2019-11-18T19.32.49.013,0.624,-0.244,-0.915,-0.244
1574076769024,2019-11-18T19.32.49.024,0.635,-0.122,-0.976,-0.183
1574076769034,2019-11-18T19.32.49.034,0.645,-0.244,-0.976,-0.244
1574076769044,2019-11-18T19.32.49.044,0.655,-0.305,-0.915,-0.183
1574076769054,2019-11-18T19.32.49.054,0.665,-0.244,-0.976,-0.183
1574076769065,2019-11-18T19.32.49.065,0.676,-0.244,-0.976,-0.183
1574076769075,2019-11-18T19.32.49.075,0.686,-0.305,-0.976,-0.183
1574076769084,2019-11-18T19.32.49.084,0.695,-0.244,-0.915,-0.183
1574076769094,2019-11-18T19.32.49.094,0.705,-0.183,-0.976,-0.366
1574076769104,2019-11-18T19.32.49.104,0.715,-0.427,-0.976,-0.244
1574076769114,2019-11-18T19.32.49.114,0.725,-0.305,-0.915,-0.183
1574076769125,2019-11-18T19.32.49.125,0.736,-0.244,-0.976,-0.244
1574076769135,2019-11-18T19.32.49.135,0.746,-0.244,-0.915,-0.244
1574076769145,2019-11-18T19.32.49.145,0.756,-0.183,-0.854,-0.183
1574076769155,2019-11-18T19.32.49.155,0.766,-0.244,-0.976,-0.183
