epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572417425366,2019-10-30T14.37.05.366,0.000,-0.183,-0.122,0.183
1572417425376,2019-10-30T14.37.05.376,0.010,-0.244,-0.183,0.122
1572417425385,2019-10-30T14.37.05.385,0.019,-0.183,-0.061,0.183
1572417425395,2019-10-30T14.37.05.395,0.029,-0.061,0.000,0.183
1572417425405,2019-10-30T14.37.05.405,0.039,-0.183,0.000,0.244
1572417425414,2019-10-30T14.37.05.414,0.048,-0.244,-0.061,0.244
1572417425424,2019-10-30T14.37.05.424,0.058,-0.061,-0.061,0.244
1572417425434,2019-10-30T14.37.05.434,0.068,-0.122,-0.061,0.183
1572417425445,2019-10-30T14.37.05.445,0.079,-0.122,-0.061,0.183
1572417425453,2019-10-30T14.37.05.453,0.087,-0.061,-0.061,0.183
1572417425464,2019-10-30T14.37.05.464,0.098,-0.061,-0.061,0.183
1572417425474,2019-10-30T14.37.05.474,0.108,-0.061,-0.061,0.122
1572417425483,2019-10-30T14.37.05.483,0.117,-0.061,-0.061,0.183
1572417425493,2019-10-30T14.37.05.493,0.127,0.000,-0.061,0.183
1572417425503,2019-10-30T14.37.05.503,0.137,-0.122,0.000,0.244
1572417425513,2019-10-30T14.37.05.513,0.147,-0.183,0.000,0.244
1572417425522,2019-10-30T14.37.05.522,0.156,-0.122,-0.061,0.122
1572417425533,2019-10-30T14.37.05.533,0.167,-0.122,0.000,0.183
1572417425543,2019-10-30T14.37.05.543,0.177,-0.183,0.000,0.183
1572417425552,2019-10-30T14.37.05.552,0.186,-0.061,-0.061,0.244
1572417425562,2019-10-30T14.37.05.562,0.196,-0.061,0.000,0.183
1572417425572,2019-10-30T14.37.05.572,0.206,-0.061,-0.061,0.183
1572417425582,2019-10-30T14.37.05.582,0.216,-0.061,-0.061,0.244
1572417425591,2019-10-30T14.37.05.591,0.225,-0.122,-0.061,0.183
1572417425601,2019-10-30T14.37.05.601,0.235,-0.122,-0.061,0.183
1572417425612,2019-10-30T14.37.05.612,0.246,0.000,0.000,0.122
1572417425622,2019-10-30T14.37.05.622,0.256,-0.061,0.000,0.183
1572417425631,2019-10-30T14.37.05.631,0.265,-0.122,0.000,0.183
1572417425641,2019-10-30T14.37.05.641,0.275,-0.061,-0.122,0.244
1572417425651,2019-10-30T14.37.05.651,0.285,-0.061,0.000,0.183
1572417425660,2019-10-30T14.37.05.660,0.294,-0.061,0.000,0.183
1572417425670,2019-10-30T14.37.05.670,0.304,-0.061,-0.061,0.183
1572417425680,2019-10-30T14.37.05.680,0.314,-0.122,-0.061,0.183
1572417425689,2019-10-30T14.37.05.689,0.323,-0.122,-0.061,0.244
1572417425700,2019-10-30T14.37.05.700,0.334,-0.122,-0.061,0.122
1572417425710,2019-10-30T14.37.05.710,0.344,0.000,0.061,0.183
1572417425720,2019-10-30T14.37.05.720,0.354,-0.122,0.000,0.183
1572417425729,2019-10-30T14.37.05.729,0.363,-0.061,0.000,0.244
1572417425739,2019-10-30T14.37.05.739,0.373,-0.061,0.000,0.122
1572417425749,2019-10-30T14.37.05.749,0.383,-0.122,0.061,0.183
1572417425758,2019-10-30T14.37.05.758,0.392,-0.061,-0.061,0.244
1572417425768,2019-10-30T14.37.05.768,0.402,-0.061,-0.122,0.122
1572417425779,2019-10-30T14.37.05.779,0.413,-0.061,0.000,0.183
