epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574071200278,2019-11-18T18.00.00.278,0.000,-0.027,0.026,-1.000
1574071200288,2019-11-18T18.00.00.288,0.010,-0.029,0.026,-1.009
1574071200298,2019-11-18T18.00.00.298,0.020,-0.030,0.023,-1.008
1574071200308,2019-11-18T18.00.00.308,0.030,-0.026,0.024,-1.008
1574071200319,2019-11-18T18.00.00.319,0.041,-0.028,0.023,-1.008
1574071200329,2019-11-18T18.00.00.329,0.051,-0.027,0.025,-1.007
1574071200339,2019-11-18T18.00.00.339,0.061,-0.029,0.024,-1.007
1574071200349,2019-11-18T18.00.00.349,0.071,-0.025,0.024,-1.007
1574071200358,2019-11-18T18.00.00.358,0.080,-0.026,0.025,-1.008
1574071200368,2019-11-18T18.00.00.368,0.090,-0.029,0.022,-1.010
1574071200379,2019-11-18T18.00.00.379,0.101,-0.030,0.024,-1.005
1574071200389,2019-11-18T18.00.00.389,0.111,-0.028,0.024,-1.008
1574071200399,2019-11-18T18.00.00.399,0.121,-0.028,0.023,-1.009
1574071200409,2019-11-18T18.00.00.409,0.131,-0.026,0.023,-1.008
1574071200420,2019-11-18T18.00.00.420,0.142,-0.028,0.024,-1.010
1574071200430,2019-11-18T18.00.00.430,0.152,-0.027,0.025,-1.007
1574071200440,2019-11-18T18.00.00.440,0.162,-0.030,0.023,-1.008
1574071200450,2019-11-18T18.00.00.450,0.172,-0.028,0.024,-1.009
1574071200461,2019-11-18T18.00.00.461,0.183,-0.029,0.023,-1.008
1574071200471,2019-11-18T18.00.00.471,0.193,-0.028,0.024,-1.008
1574071200481,2019-11-18T18.00.00.481,0.203,-0.029,0.023,-1.008
1574071200491,2019-11-18T18.00.00.491,0.213,-0.029,0.023,-1.010
1574071200502,2019-11-18T18.00.00.502,0.224,-0.028,0.025,-1.007
1574071200512,2019-11-18T18.00.00.512,0.234,-0.027,0.025,-1.008
1574071200521,2019-11-18T18.00.00.521,0.243,-0.028,0.024,-1.011
1574071200531,2019-11-18T18.00.00.531,0.253,-0.026,0.024,-1.007
1574071200541,2019-11-18T18.00.00.541,0.263,-0.026,0.024,-1.010
1574071200552,2019-11-18T18.00.00.552,0.274,-0.027,0.022,-1.006
1574071200562,2019-11-18T18.00.00.562,0.284,-0.028,0.023,-1.006
1574071200572,2019-11-18T18.00.00.572,0.294,-0.028,0.024,-1.009
1574071200582,2019-11-18T18.00.00.582,0.304,-0.029,0.023,-1.006
1574071200593,2019-11-18T18.00.00.593,0.315,-0.025,0.024,-1.007
1574071200603,2019-11-18T18.00.00.603,0.325,-0.027,0.024,-1.006
1574071200613,2019-11-18T18.00.00.613,0.335,-0.030,0.024,-1.004
1574071200623,2019-11-18T18.00.00.623,0.345,-0.028,0.024,-1.007
1574071200634,2019-11-18T18.00.00.634,0.356,-0.030,0.024,-1.007
1574071200644,2019-11-18T18.00.00.644,0.366,-0.028,0.024,-1.005
1574071200654,2019-11-18T18.00.00.654,0.376,-0.027,0.026,-1.008
1574071200664,2019-11-18T18.00.00.664,0.386,-0.028,0.026,-1.010
1574071200675,2019-11-18T18.00.00.675,0.397,-0.029,0.024,-1.007
1574071200683,2019-11-18T18.00.00.683,0.405,-0.028,0.023,-1.008
1574071200694,2019-11-18T18.00.00.694,0.416,-0.028,0.025,-1.008
1574071200704,2019-11-18T18.00.00.704,0.426,-0.030,0.023,-1.010
1574071200714,2019-11-18T18.00.00.714,0.436,-0.027,0.027,-1.008
1574071200724,2019-11-18T18.00.00.724,0.446,-0.029,0.025,-1.006
1574071200735,2019-11-18T18.00.00.735,0.457,-0.028,0.025,-1.008
1574071200745,2019-11-18T18.00.00.745,0.467,-0.028,0.023,-1.005
1574071200755,2019-11-18T18.00.00.755,0.477,-0.028,0.025,-1.009
1574071200765,2019-11-18T18.00.00.765,0.487,-0.027,0.024,-1.009
1574071200776,2019-11-18T18.00.00.776,0.498,-0.028,0.022,-1.008
1574071200786,2019-11-18T18.00.00.786,0.508,-0.027,0.023,-1.012
