epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1574071200288,2019-11-18T18.00.00.288,0.000,0.183,-0.915,0.732
1574071200298,2019-11-18T18.00.00.298,0.010,0.427,-0.976,0.000
1574071200308,2019-11-18T18.00.00.308,0.020,0.061,-1.037,0.244
1574071200319,2019-11-18T18.00.00.319,0.031,0.122,-0.976,0.366
1574071200329,2019-11-18T18.00.00.329,0.041,0.244,-0.976,0.305
1574071200339,2019-11-18T18.00.00.339,0.051,0.244,-0.915,0.305
1574071200349,2019-11-18T18.00.00.349,0.061,0.183,-0.854,0.305
1574071200358,2019-11-18T18.00.00.358,0.070,0.122,-0.976,0.244
1574071200368,2019-11-18T18.00.00.368,0.080,0.183,-0.976,0.305
1574071200379,2019-11-18T18.00.00.379,0.091,0.244,-0.915,0.305
1574071200389,2019-11-18T18.00.00.389,0.101,0.122,-0.976,0.244
1574071200399,2019-11-18T18.00.00.399,0.111,0.244,-0.976,0.244
1574071200409,2019-11-18T18.00.00.409,0.121,0.244,-0.976,0.244
1574071200420,2019-11-18T18.00.00.420,0.132,0.244,-0.976,0.305
1574071200430,2019-11-18T18.00.00.430,0.142,0.122,-1.037,0.305
1574071200440,2019-11-18T18.00.00.440,0.152,0.183,-0.976,0.305
1574071200450,2019-11-18T18.00.00.450,0.162,0.183,-0.915,0.305
1574071200461,2019-11-18T18.00.00.461,0.173,0.122,-0.915,0.244
1574071200471,2019-11-18T18.00.00.471,0.183,0.183,-0.854,0.244
1574071200481,2019-11-18T18.00.00.481,0.193,0.244,-1.037,0.366
1574071200491,2019-11-18T18.00.00.491,0.203,0.183,-1.037,0.305
1574071200502,2019-11-18T18.00.00.502,0.214,0.183,-0.976,0.305
1574071200512,2019-11-18T18.00.00.512,0.224,0.183,-0.915,0.305
1574071200521,2019-11-18T18.00.00.521,0.233,0.122,-0.915,0.305
1574071200531,2019-11-18T18.00.00.531,0.243,0.183,-0.915,0.305
