epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574076157880,2019-11-18T19.22.37.880,0.000,-0.036,-0.027,-1.031
1574076157891,2019-11-18T19.22.37.891,0.011,-0.037,-0.029,-1.040
1574076157901,2019-11-18T19.22.37.901,0.021,-0.036,-0.027,-1.040
1574076157911,2019-11-18T19.22.37.911,0.031,-0.037,-0.024,-1.040
1574076157921,2019-11-18T19.22.37.921,0.041,-0.037,-0.024,-1.037
1574076157930,2019-11-18T19.22.37.930,0.050,-0.037,-0.026,-1.038
1574076157940,2019-11-18T19.22.37.940,0.060,-0.037,-0.026,-1.040
1574076157951,2019-11-18T19.22.37.951,0.071,-0.037,-0.024,-1.041
1574076157961,2019-11-18T19.22.37.961,0.081,-0.038,-0.026,-1.038
1574076157970,2019-11-18T19.22.37.970,0.090,-0.038,-0.025,-1.040
1574076157980,2019-11-18T19.22.37.980,0.100,-0.038,-0.025,-1.039
1574076157990,2019-11-18T19.22.37.990,0.110,-0.037,-0.025,-1.040
1574076158000,2019-11-18T19.22.38.000,0.120,-0.039,-0.024,-1.042
1574076158011,2019-11-18T19.22.38.011,0.131,-0.036,-0.025,-1.042
1574076158020,2019-11-18T19.22.38.020,0.140,-0.035,-0.025,-1.039
1574076158030,2019-11-18T19.22.38.030,0.150,-0.038,-0.025,-1.039
1574076158040,2019-11-18T19.22.38.040,0.160,-0.038,-0.025,-1.038
1574076158050,2019-11-18T19.22.38.050,0.170,-0.037,-0.026,-1.042
1574076158061,2019-11-18T19.22.38.061,0.181,-0.038,-0.026,-1.041
1574076158069,2019-11-18T19.22.38.069,0.189,-0.037,-0.025,-1.040
1574076158080,2019-11-18T19.22.38.080,0.200,-0.036,-0.024,-1.042
1574076158090,2019-11-18T19.22.38.090,0.210,-0.037,-0.024,-1.041
1574076158100,2019-11-18T19.22.38.100,0.220,-0.036,-0.023,-1.042
1574076158109,2019-11-18T19.22.38.109,0.229,-0.035,-0.025,-1.042
1574076158119,2019-11-18T19.22.38.119,0.239,-0.037,-0.025,-1.039
1574076158129,2019-11-18T19.22.38.129,0.249,-0.036,-0.025,-1.042
1574076158140,2019-11-18T19.22.38.140,0.260,-0.035,-0.026,-1.039
1574076158150,2019-11-18T19.22.38.150,0.270,-0.036,-0.024,-1.039
1574076158159,2019-11-18T19.22.38.159,0.279,-0.036,-0.025,-1.040
1574076158169,2019-11-18T19.22.38.169,0.289,-0.037,-0.025,-1.036
1574076158179,2019-11-18T19.22.38.179,0.299,-0.039,-0.026,-1.040
1574076158189,2019-11-18T19.22.38.189,0.309,-0.038,-0.025,-1.040
1574076158198,2019-11-18T19.22.38.198,0.318,-0.038,-0.024,-1.040
1574076158208,2019-11-18T19.22.38.208,0.328,-0.039,-0.026,-1.040
1574076158219,2019-11-18T19.22.38.219,0.339,-0.037,-0.024,-1.041
1574076158229,2019-11-18T19.22.38.229,0.349,-0.037,-0.023,-1.042
1574076158239,2019-11-18T19.22.38.239,0.359,-0.038,-0.025,-1.042
1574076158248,2019-11-18T19.22.38.248,0.368,-0.037,-0.024,-1.040
1574076158258,2019-11-18T19.22.38.258,0.378,-0.035,-0.023,-1.037
1574076158269,2019-11-18T19.22.38.269,0.389,-0.036,-0.024,-1.039
1574076158279,2019-11-18T19.22.38.279,0.399,-0.036,-0.025,-1.039
1574076158289,2019-11-18T19.22.38.289,0.409,-0.037,-0.025,-1.040
1574076158298,2019-11-18T19.22.38.298,0.418,-0.035,-0.025,-1.039
1574076158308,2019-11-18T19.22.38.308,0.428,-0.034,-0.026,-1.040
1574076158318,2019-11-18T19.22.38.318,0.438,-0.035,-0.023,-1.042
1574076158329,2019-11-18T19.22.38.329,0.449,-0.039,-0.025,-1.040
1574076158337,2019-11-18T19.22.38.337,0.457,-0.038,-0.025,-1.040
1574076158348,2019-11-18T19.22.38.348,0.468,-0.037,-0.025,-1.040
1574076158358,2019-11-18T19.22.38.358,0.478,-0.035,-0.025,-1.037
1574076158368,2019-11-18T19.22.38.368,0.488,-0.034,-0.025,-1.040
1574076158378,2019-11-18T19.22.38.378,0.498,-0.037,-0.024,-1.042
1574076158387,2019-11-18T19.22.38.387,0.507,-0.037,-0.026,-1.044
1574076158397,2019-11-18T19.22.38.397,0.517,-0.036,-0.025,-1.041
1574076158408,2019-11-18T19.22.38.408,0.528,-0.037,-0.024,-1.041
1574076158418,2019-11-18T19.22.38.418,0.538,-0.036,-0.028,-1.039
1574076158427,2019-11-18T19.22.38.427,0.547,-0.037,-0.027,-1.041
1574076158437,2019-11-18T19.22.38.437,0.557,-0.035,-0.025,-1.039
1574076158447,2019-11-18T19.22.38.447,0.567,-0.036,-0.025,-1.043
1574076158458,2019-11-18T19.22.38.458,0.578,-0.034,-0.024,-1.043
1574076158468,2019-11-18T19.22.38.468,0.588,-0.035,-0.025,-1.038
1574076158477,2019-11-18T19.22.38.477,0.597,-0.036,-0.024,-1.037
1574076158487,2019-11-18T19.22.38.487,0.607,-0.036,-0.026,-1.039
1574076158497,2019-11-18T19.22.38.497,0.617,-0.039,-0.026,-1.041
1574076158507,2019-11-18T19.22.38.507,0.627,-0.035,-0.026,-1.041
1574076158518,2019-11-18T19.22.38.518,0.638,-0.035,-0.025,-1.042
1574076158526,2019-11-18T19.22.38.526,0.646,-0.036,-0.024,-1.041
1574076158537,2019-11-18T19.22.38.537,0.657,-0.035,-0.025,-1.043
1574076158547,2019-11-18T19.22.38.547,0.667,-0.037,-0.026,-1.041
1574076158557,2019-11-18T19.22.38.557,0.677,-0.037,-0.025,-1.042
1574076158566,2019-11-18T19.22.38.566,0.686,-0.037,-0.024,-1.040
1574076158576,2019-11-18T19.22.38.576,0.696,-0.039,-0.027,-1.040
1574076158586,2019-11-18T19.22.38.586,0.706,-0.035,-0.026,-1.037
1574076158597,2019-11-18T19.22.38.597,0.717,-0.037,-0.024,-1.040
1574076158607,2019-11-18T19.22.38.607,0.727,-0.037,-0.025,-1.042
1574076158616,2019-11-18T19.22.38.616,0.736,-0.034,-0.024,-1.042
1574076158626,2019-11-18T19.22.38.626,0.746,-0.037,-0.025,-1.038
1574076158636,2019-11-18T19.22.38.636,0.756,-0.038,-0.026,-1.039
1574076158646,2019-11-18T19.22.38.646,0.766,-0.034,-0.025,-1.040
1574076158655,2019-11-18T19.22.38.655,0.775,-0.035,-0.024,-1.039
1574076158666,2019-11-18T19.22.38.666,0.786,-0.035,-0.026,-1.039
1574076158676,2019-11-18T19.22.38.676,0.796,-0.036,-0.025,-1.041
1574076158686,2019-11-18T19.22.38.686,0.806,-0.037,-0.026,-1.039
1574076158696,2019-11-18T19.22.38.696,0.816,-0.036,-0.026,-1.038
1574076158705,2019-11-18T19.22.38.705,0.825,-0.036,-0.023,-1.039
1574076158715,2019-11-18T19.22.38.715,0.835,-0.035,-0.025,-1.037
1574076158726,2019-11-18T19.22.38.726,0.846,-0.035,-0.025,-1.036
1574076158736,2019-11-18T19.22.38.736,0.856,-0.036,-0.026,-1.039
1574076158746,2019-11-18T19.22.38.746,0.866,-0.034,-0.024,-1.042
1574076158755,2019-11-18T19.22.38.755,0.875,-0.036,-0.024,-1.040
1574076158765,2019-11-18T19.22.38.765,0.885,-0.036,-0.026,-1.037
1574076158775,2019-11-18T19.22.38.775,0.895,-0.035,-0.024,-1.039
1574076158786,2019-11-18T19.22.38.786,0.906,-0.036,-0.026,-1.041
1574076158794,2019-11-18T19.22.38.794,0.914,-0.036,-0.025,-1.042
1574076158805,2019-11-18T19.22.38.805,0.925,-0.035,-0.025,-1.040
1574076158815,2019-11-18T19.22.38.815,0.935,-0.036,-0.024,-1.041
1574076158825,2019-11-18T19.22.38.825,0.945,-0.036,-0.025,-1.039
1574076158835,2019-11-18T19.22.38.835,0.955,-0.036,-0.024,-1.039
1574076158844,2019-11-18T19.22.38.844,0.964,-0.037,-0.024,-1.039
1574076158854,2019-11-18T19.22.38.854,0.974,-0.036,-0.023,-1.040
1574076158865,2019-11-18T19.22.38.865,0.985,-0.036,-0.025,-1.041
1574076158875,2019-11-18T19.22.38.875,0.995,-0.035,-0.025,-1.041
1574076158884,2019-11-18T19.22.38.884,1.004,-0.036,-0.024,-1.041
1574076158894,2019-11-18T19.22.38.894,1.014,-0.035,-0.025,-1.039
1574076158904,2019-11-18T19.22.38.904,1.024,-0.036,-0.023,-1.041
1574076158915,2019-11-18T19.22.38.915,1.035,-0.037,-0.025,-1.038
1574076158925,2019-11-18T19.22.38.925,1.045,-0.037,-0.026,-1.037
1574076158934,2019-11-18T19.22.38.934,1.054,-0.033,-0.025,-1.037
1574076158944,2019-11-18T19.22.38.944,1.064,-0.036,-0.025,-1.038
1574076158954,2019-11-18T19.22.38.954,1.074,-0.038,-0.024,-1.038
1574076158964,2019-11-18T19.22.38.964,1.084,-0.036,-0.026,-1.038
1574076158975,2019-11-18T19.22.38.975,1.095,-0.039,-0.024,-1.041
1574076158983,2019-11-18T19.22.38.983,1.103,-0.036,-0.023,-1.041
1574076158994,2019-11-18T19.22.38.994,1.114,-0.038,-0.025,-1.038
1574076159004,2019-11-18T19.22.39.004,1.124,-0.036,-0.025,-1.039
1574076159014,2019-11-18T19.22.39.014,1.134,-0.035,-0.024,-1.039
1574076159023,2019-11-18T19.22.39.023,1.143,-0.036,-0.026,-1.038
1574076159033,2019-11-18T19.22.39.033,1.153,-0.040,-0.023,-1.040
1574076159043,2019-11-18T19.22.39.043,1.163,-0.036,-0.023,-1.039
1574076159054,2019-11-18T19.22.39.054,1.174,-0.037,-0.025,-1.036
1574076159064,2019-11-18T19.22.39.064,1.184,-0.035,-0.025,-1.040
1574076159073,2019-11-18T19.22.39.073,1.193,-0.036,-0.024,-1.041
1574076159083,2019-11-18T19.22.39.083,1.203,-0.038,-0.024,-1.039
1574076159093,2019-11-18T19.22.39.093,1.213,-0.037,-0.026,-1.039
1574076159104,2019-11-18T19.22.39.104,1.224,-0.036,-0.023,-1.041
1574076159112,2019-11-18T19.22.39.112,1.232,-0.038,-0.023,-1.039
1574076159123,2019-11-18T19.22.39.123,1.243,-0.037,-0.026,-1.039
1574076159133,2019-11-18T19.22.39.133,1.253,-0.037,-0.026,-1.040
1574076159143,2019-11-18T19.22.39.143,1.263,-0.036,-0.027,-1.042
1574076159153,2019-11-18T19.22.39.153,1.273,-0.037,-0.022,-1.041
1574076159162,2019-11-18T19.22.39.162,1.282,-0.037,-0.024,-1.038
1574076159172,2019-11-18T19.22.39.172,1.292,-0.038,-0.026,-1.040
1574076159183,2019-11-18T19.22.39.183,1.303,-0.037,-0.025,-1.038
1574076159193,2019-11-18T19.22.39.193,1.313,-0.036,-0.026,-1.039
1574076159202,2019-11-18T19.22.39.202,1.322,-0.038,-0.024,-1.039
1574076159212,2019-11-18T19.22.39.212,1.332,-0.038,-0.024,-1.039
1574076159222,2019-11-18T19.22.39.222,1.342,-0.038,-0.024,-1.040
1574076159232,2019-11-18T19.22.39.232,1.352,-0.037,-0.024,-1.040
1574076159243,2019-11-18T19.22.39.243,1.363,-0.038,-0.024,-1.039
1574076159251,2019-11-18T19.22.39.251,1.371,-0.034,-0.024,-1.039
1574076159262,2019-11-18T19.22.39.262,1.382,-0.036,-0.024,-1.037
1574076159272,2019-11-18T19.22.39.272,1.392,-0.038,-0.024,-1.037
1574076159282,2019-11-18T19.22.39.282,1.402,-0.034,-0.025,-1.040
1574076159292,2019-11-18T19.22.39.292,1.412,-0.037,-0.024,-1.036
1574076159301,2019-11-18T19.22.39.301,1.421,-0.036,-0.024,-1.041
1574076159312,2019-11-18T19.22.39.312,1.432,-0.038,-0.027,-1.038
1574076159322,2019-11-18T19.22.39.322,1.442,-0.037,-0.025,-1.038
1574076159332,2019-11-18T19.22.39.332,1.452,-0.036,-0.025,-1.040
1574076159341,2019-11-18T19.22.39.341,1.461,-0.036,-0.025,-1.042
1574076159351,2019-11-18T19.22.39.351,1.471,-0.036,-0.024,-1.037
1574076159361,2019-11-18T19.22.39.361,1.481,-0.036,-0.024,-1.039
1574076159372,2019-11-18T19.22.39.372,1.492,-0.037,-0.026,-1.040
1574076159382,2019-11-18T19.22.39.382,1.502,-0.037,-0.026,-1.039
1574076159391,2019-11-18T19.22.39.391,1.511,-0.035,-0.025,-1.038
1574076159401,2019-11-18T19.22.39.401,1.521,-0.036,-0.025,-1.038
1574076159411,2019-11-18T19.22.39.411,1.531,-0.036,-0.025,-1.039
1574076159421,2019-11-18T19.22.39.421,1.541,-0.036,-0.023,-1.038
1574076159430,2019-11-18T19.22.39.430,1.550,-0.038,-0.024,-1.038
1574076159440,2019-11-18T19.22.39.440,1.560,-0.037,-0.026,-1.042
1574076159451,2019-11-18T19.22.39.451,1.571,-0.036,-0.024,-1.040
1574076159461,2019-11-18T19.22.39.461,1.581,-0.036,-0.024,-1.037
1574076159471,2019-11-18T19.22.39.471,1.591,-0.035,-0.026,-1.041
1574076159480,2019-11-18T19.22.39.480,1.600,-0.039,-0.027,-1.039
1574076159490,2019-11-18T19.22.39.490,1.610,-0.039,-0.024,-1.042
1574076159500,2019-11-18T19.22.39.500,1.620,-0.036,-0.023,-1.037
1574076159511,2019-11-18T19.22.39.511,1.631,-0.036,-0.024,-1.040
1574076159521,2019-11-18T19.22.39.521,1.641,-0.034,-0.026,-1.037
1574076159530,2019-11-18T19.22.39.530,1.650,-0.035,-0.025,-1.040
1574076159540,2019-11-18T19.22.39.540,1.660,-0.037,-0.024,-1.038
1574076159550,2019-11-18T19.22.39.550,1.670,-0.034,-0.023,-1.040
1574076159561,2019-11-18T19.22.39.561,1.681,-0.036,-0.025,-1.038
1574076159569,2019-11-18T19.22.39.569,1.689,-0.039,-0.025,-1.040
1574076159580,2019-11-18T19.22.39.580,1.700,-0.035,-0.024,-1.039
1574076159590,2019-11-18T19.22.39.590,1.710,-0.034,-0.023,-1.037
1574076159600,2019-11-18T19.22.39.600,1.720,-0.037,-0.026,-1.038
1574076159610,2019-11-18T19.22.39.610,1.730,-0.036,-0.025,-1.039
1574076159619,2019-11-18T19.22.39.619,1.739,-0.034,-0.025,-1.039
1574076159629,2019-11-18T19.22.39.629,1.749,-0.036,-0.023,-1.037
1574076159640,2019-11-18T19.22.39.640,1.760,-0.036,-0.025,-1.034
1574076159650,2019-11-18T19.22.39.650,1.770,-0.035,-0.027,-1.038
1574076159659,2019-11-18T19.22.39.659,1.779,-0.037,-0.026,-1.042
1574076159669,2019-11-18T19.22.39.669,1.789,-0.037,-0.023,-1.040
1574076159679,2019-11-18T19.22.39.679,1.799,-0.036,-0.024,-1.040
1574076159689,2019-11-18T19.22.39.689,1.809,-0.036,-0.025,-1.037
1574076159700,2019-11-18T19.22.39.700,1.820,-0.036,-0.026,-1.037
1574076159708,2019-11-18T19.22.39.708,1.828,-0.039,-0.027,-1.042
1574076159719,2019-11-18T19.22.39.719,1.839,-0.040,-0.025,-1.037
1574076159729,2019-11-18T19.22.39.729,1.849,-0.035,-0.025,-1.039
1574076159739,2019-11-18T19.22.39.739,1.859,-0.036,-0.025,-1.040
1574076159750,2019-11-18T19.22.39.750,1.870,-0.036,-0.025,-1.039
1574076159758,2019-11-18T19.22.39.758,1.878,-0.037,-0.026,-1.038
1574076159769,2019-11-18T19.22.39.769,1.889,-0.038,-0.025,-1.039
1574076159779,2019-11-18T19.22.39.779,1.899,-0.036,-0.025,-1.039
1574076159789,2019-11-18T19.22.39.789,1.909,-0.039,-0.026,-1.037
1574076159798,2019-11-18T19.22.39.798,1.918,-0.038,-0.023,-1.038
1574076159810,2019-11-18T19.22.39.810,1.930,-0.039,-0.025,-1.037
1574076159818,2019-11-18T19.22.39.818,1.938,-0.036,-0.027,-1.041
1574076159829,2019-11-18T19.22.39.829,1.949,-0.036,-0.024,-1.036
1574076159839,2019-11-18T19.22.39.839,1.959,-0.040,-0.025,-1.038
1574076159848,2019-11-18T19.22.39.848,1.968,-0.037,-0.024,-1.039
1574076159858,2019-11-18T19.22.39.858,1.978,-0.038,-0.025,-1.038
1574076159868,2019-11-18T19.22.39.868,1.988,-0.039,-0.026,-1.040
1574076159878,2019-11-18T19.22.39.878,1.998,-0.036,-0.026,-1.042
1574076159887,2019-11-18T19.22.39.887,2.007,-0.038,-0.025,-1.039
1574076159897,2019-11-18T19.22.39.897,2.017,-0.037,-0.026,-1.038
1574076159908,2019-11-18T19.22.39.908,2.028,-0.037,-0.026,-1.038
1574076159918,2019-11-18T19.22.39.918,2.038,-0.037,-0.025,-1.038
1574076159928,2019-11-18T19.22.39.928,2.048,-0.039,-0.025,-1.041
1574076159937,2019-11-18T19.22.39.937,2.057,-0.037,-0.025,-1.040
1574076159947,2019-11-18T19.22.39.947,2.067,-0.035,-0.026,-1.039
1574076159958,2019-11-18T19.22.39.958,2.078,-0.037,-0.024,-1.039
1574076159968,2019-11-18T19.22.39.968,2.088,-0.038,-0.025,-1.041
1574076159977,2019-11-18T19.22.39.977,2.097,-0.035,-0.026,-1.040
1574076159987,2019-11-18T19.22.39.987,2.107,-0.034,-0.026,-1.038
1574076159997,2019-11-18T19.22.39.997,2.117,-0.037,-0.026,-1.039
1574076160007,2019-11-18T19.22.40.007,2.127,-0.037,-0.028,-1.040
1574076160018,2019-11-18T19.22.40.018,2.138,-0.038,-0.025,-1.042
1574076160026,2019-11-18T19.22.40.026,2.146,-0.036,-0.026,-1.042
1574076160037,2019-11-18T19.22.40.037,2.157,-0.036,-0.024,-1.037
1574076160047,2019-11-18T19.22.40.047,2.167,-0.036,-0.026,-1.041
1574076160057,2019-11-18T19.22.40.057,2.177,-0.036,-0.024,-1.041
1574076160067,2019-11-18T19.22.40.067,2.187,-0.036,-0.026,-1.036
1574076160076,2019-11-18T19.22.40.076,2.196,-0.038,-0.026,-1.039
1574076160086,2019-11-18T19.22.40.086,2.206,-0.038,-0.025,-1.039
