epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1574076157901,2019-11-18T19.22.37.901,0.000,0.061,-0.305,-0.061
1574076157911,2019-11-18T19.22.37.911,0.010,-0.061,-0.427,0.122
1574076157921,2019-11-18T19.22.37.921,0.020,-0.061,-0.427,-0.061
1574076157930,2019-11-18T19.22.37.930,0.029,0.061,-0.427,0.000
1574076157940,2019-11-18T19.22.37.940,0.039,-0.061,-0.427,-0.061
1574076157951,2019-11-18T19.22.37.951,0.050,-0.061,-0.549,-0.061
1574076157961,2019-11-18T19.22.37.961,0.060,0.000,-0.488,-0.061
1574076157971,2019-11-18T19.22.37.971,0.070,-0.061,-0.366,-0.061
1574076157980,2019-11-18T19.22.37.980,0.079,0.000,-0.427,0.061
1574076157990,2019-11-18T19.22.37.990,0.089,-0.061,-0.488,-0.061
1574076158000,2019-11-18T19.22.38.000,0.099,0.061,-0.427,0.061
1574076158011,2019-11-18T19.22.38.011,0.110,0.061,-0.305,0.000
1574076158020,2019-11-18T19.22.38.020,0.119,0.000,-0.366,-0.061
1574076158030,2019-11-18T19.22.38.030,0.129,0.061,-0.427,-0.061
1574076158040,2019-11-18T19.22.38.040,0.139,-0.061,-0.427,-0.061
1574076158050,2019-11-18T19.22.38.050,0.149,0.061,-0.366,-0.122
1574076158061,2019-11-18T19.22.38.061,0.160,-0.061,-0.366,-0.061
1574076158069,2019-11-18T19.22.38.069,0.168,-0.061,-0.427,-0.061
1574076158080,2019-11-18T19.22.38.080,0.179,-0.061,-0.488,0.000
1574076158090,2019-11-18T19.22.38.090,0.189,-0.061,-0.488,0.000
1574076158100,2019-11-18T19.22.38.100,0.199,-0.061,-0.427,-0.061
1574076158109,2019-11-18T19.22.38.109,0.208,0.061,-0.427,0.000
1574076158119,2019-11-18T19.22.38.119,0.218,0.000,-0.488,-0.061
1574076158129,2019-11-18T19.22.38.129,0.228,0.000,-0.366,0.000
1574076158140,2019-11-18T19.22.38.140,0.239,0.000,-0.427,-0.061
1574076158150,2019-11-18T19.22.38.150,0.249,-0.061,-0.488,-0.061
1574076158159,2019-11-18T19.22.38.159,0.258,-0.061,-0.366,0.061
1574076158169,2019-11-18T19.22.38.169,0.268,-0.122,-0.488,0.000
1574076158179,2019-11-18T19.22.38.179,0.278,-0.061,-0.427,-0.061
1574076158189,2019-11-18T19.22.38.189,0.288,-0.061,-0.366,-0.061
1574076158200,2019-11-18T19.22.38.200,0.299,-0.061,-0.427,0.000
1574076158208,2019-11-18T19.22.38.208,0.307,0.000,-0.488,0.000
1574076158219,2019-11-18T19.22.38.219,0.318,0.000,-0.427,0.061
1574076158229,2019-11-18T19.22.38.229,0.328,0.000,-0.427,0.000
1574076158239,2019-11-18T19.22.38.239,0.338,0.000,-0.488,0.000
1574076158250,2019-11-18T19.22.38.250,0.349,0.061,-0.427,-0.061
1574076158258,2019-11-18T19.22.38.258,0.357,0.000,-0.427,0.000
1574076158269,2019-11-18T19.22.38.269,0.368,0.000,-0.366,0.000
1574076158279,2019-11-18T19.22.38.279,0.378,-0.061,-0.366,-0.061
1574076158289,2019-11-18T19.22.38.289,0.388,0.000,-0.427,0.061
1574076158298,2019-11-18T19.22.38.298,0.397,0.000,-0.488,-0.061
1574076158308,2019-11-18T19.22.38.308,0.407,0.000,-0.488,0.061
1574076158318,2019-11-18T19.22.38.318,0.417,0.000,-0.488,0.000
1574076158329,2019-11-18T19.22.38.329,0.428,0.000,-0.427,0.000
1574076158337,2019-11-18T19.22.38.337,0.436,0.000,-0.427,-0.061
1574076158348,2019-11-18T19.22.38.348,0.447,-0.061,-0.427,0.000
1574076158358,2019-11-18T19.22.38.358,0.457,0.061,-0.427,0.000
1574076158368,2019-11-18T19.22.38.368,0.467,0.061,-0.427,0.000
1574076158378,2019-11-18T19.22.38.378,0.477,0.000,-0.427,-0.122
1574076158387,2019-11-18T19.22.38.387,0.486,-0.061,-0.366,0.000
1574076158397,2019-11-18T19.22.38.397,0.496,-0.061,-0.427,0.000
1574076158408,2019-11-18T19.22.38.408,0.507,-0.061,-0.427,-0.061
1574076158418,2019-11-18T19.22.38.418,0.517,0.000,-0.366,-0.061
1574076158428,2019-11-18T19.22.38.428,0.527,0.000,-0.488,0.000
1574076158437,2019-11-18T19.22.38.437,0.536,0.000,-0.427,0.000
1574076158447,2019-11-18T19.22.38.447,0.546,0.000,-0.488,-0.061
