epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574076461719,2019-11-18T19.27.41.719,0.000,-0.047,-0.039,-1.021
1574076461729,2019-11-18T19.27.41.729,0.010,-0.047,-0.039,-1.029
1574076461739,2019-11-18T19.27.41.739,0.020,-0.051,-0.039,-1.026
1574076461749,2019-11-18T19.27.41.749,0.030,-0.049,-0.040,-1.024
1574076461760,2019-11-18T19.27.41.760,0.041,-0.048,-0.039,-1.023
1574076461768,2019-11-18T19.27.41.768,0.049,-0.048,-0.038,-1.026
1574076461779,2019-11-18T19.27.41.779,0.060,-0.047,-0.038,-1.024
1574076461789,2019-11-18T19.27.41.789,0.070,-0.046,-0.040,-1.026
1574076461799,2019-11-18T19.27.41.799,0.080,-0.050,-0.039,-1.026
1574076461808,2019-11-18T19.27.41.808,0.089,-0.046,-0.039,-1.027
1574076461818,2019-11-18T19.27.41.818,0.099,-0.047,-0.036,-1.026
1574076461828,2019-11-18T19.27.41.828,0.109,-0.049,-0.037,-1.023
1574076461839,2019-11-18T19.27.41.839,0.120,-0.049,-0.039,-1.023
1574076461847,2019-11-18T19.27.41.847,0.128,-0.047,-0.039,-1.026
1574076461858,2019-11-18T19.27.41.858,0.139,-0.048,-0.039,-1.025
1574076461868,2019-11-18T19.27.41.868,0.149,-0.046,-0.038,-1.026
1574076461878,2019-11-18T19.27.41.878,0.159,-0.046,-0.037,-1.029
1574076461888,2019-11-18T19.27.41.888,0.169,-0.046,-0.039,-1.027
1574076461897,2019-11-18T19.27.41.897,0.178,-0.045,-0.039,-1.024
1574076461908,2019-11-18T19.27.41.908,0.189,-0.048,-0.040,-1.027
1574076461918,2019-11-18T19.27.41.918,0.199,-0.050,-0.040,-1.027
1574076461928,2019-11-18T19.27.41.928,0.209,-0.049,-0.038,-1.024
1574076461938,2019-11-18T19.27.41.938,0.219,-0.048,-0.037,-1.023
1574076461947,2019-11-18T19.27.41.947,0.228,-0.049,-0.038,-1.023
1574076461957,2019-11-18T19.27.41.957,0.238,-0.048,-0.039,-1.023
