epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1574076461729,2019-11-18T19.27.41.729,0.000,0.427,0.000,1.037
1574076461739,2019-11-18T19.27.41.739,0.010,0.183,0.000,-2.683
1574076461749,2019-11-18T19.27.41.749,0.020,0.305,-0.305,-0.610
1574076461760,2019-11-18T19.27.41.760,0.031,0.305,-0.305,-0.244
1574076461768,2019-11-18T19.27.41.768,0.039,0.305,-0.305,-0.549
1574076461779,2019-11-18T19.27.41.779,0.050,0.366,-0.305,-0.488
1574076461789,2019-11-18T19.27.41.789,0.060,0.305,-0.244,-0.427
1574076461799,2019-11-18T19.27.41.799,0.070,0.305,-0.244,-0.427
1574076461808,2019-11-18T19.27.41.808,0.079,0.244,-0.305,-0.488
1574076461818,2019-11-18T19.27.41.818,0.089,0.366,-0.244,-0.427
1574076461828,2019-11-18T19.27.41.828,0.099,0.366,-0.244,-0.488
1574076461839,2019-11-18T19.27.41.839,0.110,0.305,-0.305,-0.488
1574076461847,2019-11-18T19.27.41.847,0.118,0.305,-0.305,-0.488
1574076461858,2019-11-18T19.27.41.858,0.129,0.244,-0.244,-0.427
1574076461868,2019-11-18T19.27.41.868,0.139,0.305,-0.305,-0.488
1574076461878,2019-11-18T19.27.41.878,0.149,0.305,-0.305,-0.427
1574076461888,2019-11-18T19.27.41.888,0.159,0.305,-0.244,-0.366
1574076461897,2019-11-18T19.27.41.897,0.168,0.305,-0.244,-0.427
1574076461908,2019-11-18T19.27.41.908,0.179,0.305,-0.244,-0.488
1574076461918,2019-11-18T19.27.41.918,0.189,0.305,-0.183,-0.488
1574076461928,2019-11-18T19.27.41.928,0.199,0.305,-0.305,-0.488
1574076461938,2019-11-18T19.27.41.938,0.209,0.366,-0.305,-0.366
1574076461947,2019-11-18T19.27.41.947,0.218,0.427,-0.305,-0.366
1574076461957,2019-11-18T19.27.41.957,0.228,0.305,-0.244,-0.427
1574076461968,2019-11-18T19.27.41.968,0.239,0.366,-0.183,-0.488
1574076461978,2019-11-18T19.27.41.978,0.249,0.366,-0.244,-0.366
