epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574076985934,2019-11-18T19.36.25.934,0.000,-0.022,-0.021,-1.017
1574076985944,2019-11-18T19.36.25.944,0.010,-0.022,-0.021,-1.025
1574076985954,2019-11-18T19.36.25.954,0.020,-0.024,-0.019,-1.023
1574076985965,2019-11-18T19.36.25.965,0.031,-0.022,-0.021,-1.020
1574076985975,2019-11-18T19.36.25.975,0.041,-0.020,-0.022,-1.021
1574076985985,2019-11-18T19.36.25.985,0.051,-0.022,-0.021,-1.023
1574076985995,2019-11-18T19.36.25.995,0.061,-0.022,-0.020,-1.025
1574076986006,2019-11-18T19.36.26.006,0.072,-0.020,-0.021,-1.024
1574076986016,2019-11-18T19.36.26.016,0.082,-0.023,-0.020,-1.024
1574076986025,2019-11-18T19.36.26.025,0.091,-0.022,-0.021,-1.023
1574076986035,2019-11-18T19.36.26.035,0.101,-0.019,-0.021,-1.023
1574076986045,2019-11-18T19.36.26.045,0.111,-0.020,-0.022,-1.024
1574076986055,2019-11-18T19.36.26.055,0.121,-0.021,-0.020,-1.023
1574076986066,2019-11-18T19.36.26.066,0.132,-0.021,-0.021,-1.024
1574076986076,2019-11-18T19.36.26.076,0.142,-0.021,-0.021,-1.024
1574076986086,2019-11-18T19.36.26.086,0.152,-0.020,-0.020,-1.022
1574076986096,2019-11-18T19.36.26.096,0.162,-0.022,-0.021,-1.023
1574076986107,2019-11-18T19.36.26.107,0.173,-0.022,-0.020,-1.025
1574076986117,2019-11-18T19.36.26.117,0.183,-0.020,-0.020,-1.021
1574076986127,2019-11-18T19.36.26.127,0.193,-0.021,-0.021,-1.022
1574076986137,2019-11-18T19.36.26.137,0.203,-0.022,-0.022,-1.023
1574076986146,2019-11-18T19.36.26.146,0.212,-0.020,-0.022,-1.024
1574076986157,2019-11-18T19.36.26.157,0.223,-0.018,-0.020,-1.022
1574076986167,2019-11-18T19.36.26.167,0.233,-0.022,-0.019,-1.024
1574076986177,2019-11-18T19.36.26.177,0.243,-0.021,-0.021,-1.023
1574076986187,2019-11-18T19.36.26.187,0.253,-0.021,-0.022,-1.022
1574076986198,2019-11-18T19.36.26.198,0.264,-0.022,-0.019,-1.023
1574076986208,2019-11-18T19.36.26.208,0.274,-0.021,-0.021,-1.023
1574076986218,2019-11-18T19.36.26.218,0.284,-0.021,-0.020,-1.023
1574076986228,2019-11-18T19.36.26.228,0.294,-0.023,-0.021,-1.022
1574076986239,2019-11-18T19.36.26.239,0.305,-0.019,-0.021,-1.021
1574076986247,2019-11-18T19.36.26.247,0.313,-0.022,-0.021,-1.024
1574076986258,2019-11-18T19.36.26.258,0.324,-0.021,-0.021,-1.023
1574076986268,2019-11-18T19.36.26.268,0.334,-0.021,-0.021,-1.022
1574076986278,2019-11-18T19.36.26.278,0.344,-0.022,-0.020,-1.023
1574076986288,2019-11-18T19.36.26.288,0.354,-0.023,-0.021,-1.024
1574076986299,2019-11-18T19.36.26.299,0.365,-0.022,-0.022,-1.021
1574076986309,2019-11-18T19.36.26.309,0.375,-0.020,-0.021,-1.021
1574076986319,2019-11-18T19.36.26.319,0.385,-0.021,-0.020,-1.022
1574076986329,2019-11-18T19.36.26.329,0.395,-0.023,-0.019,-1.022
1574076986340,2019-11-18T19.36.26.340,0.406,-0.021,-0.019,-1.023
1574076986350,2019-11-18T19.36.26.350,0.416,-0.021,-0.021,-1.022
1574076986359,2019-11-18T19.36.26.359,0.425,-0.021,-0.020,-1.022
1574076986369,2019-11-18T19.36.26.369,0.435,-0.024,-0.020,-1.023
1574076986379,2019-11-18T19.36.26.379,0.445,-0.023,-0.020,-1.023
1574076986389,2019-11-18T19.36.26.389,0.455,-0.021,-0.020,-1.021
1574076986400,2019-11-18T19.36.26.400,0.466,-0.021,-0.020,-1.024
