epoc (ms),timestamp (+0800),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1574076985965,2019-11-18T19.36.25.965,0.000,0.061,0.000,-0.183
1574076985975,2019-11-18T19.36.25.975,0.010,-0.122,0.000,-0.488
1574076985985,2019-11-18T19.36.25.985,0.020,0.061,-0.122,-0.183
1574076985995,2019-11-18T19.36.25.995,0.030,0.000,-0.122,-0.183
1574076986006,2019-11-18T19.36.26.006,0.041,0.000,-0.122,-0.305
1574076986016,2019-11-18T19.36.26.016,0.051,0.061,-0.183,-0.305
1574076986026,2019-11-18T19.36.26.026,0.061,0.000,-0.183,-0.244
1574076986035,2019-11-18T19.36.26.035,0.070,0.000,-0.122,-0.305
1574076986045,2019-11-18T19.36.26.045,0.080,0.061,-0.183,-0.244
1574076986055,2019-11-18T19.36.26.055,0.090,0.000,-0.122,-0.183
1574076986066,2019-11-18T19.36.26.066,0.101,-0.061,-0.183,-0.244
1574076986076,2019-11-18T19.36.26.076,0.111,0.061,-0.183,-0.244
1574076986086,2019-11-18T19.36.26.086,0.121,-0.061,-0.122,-0.244
1574076986096,2019-11-18T19.36.26.096,0.131,-0.061,-0.122,-0.244
1574076986107,2019-11-18T19.36.26.107,0.142,-0.061,-0.122,-0.244
1574076986117,2019-11-18T19.36.26.117,0.152,-0.061,-0.183,-0.366
1574076986127,2019-11-18T19.36.26.127,0.162,-0.122,-0.183,-0.244
1574076986137,2019-11-18T19.36.26.137,0.172,0.000,-0.122,-0.183
1574076986146,2019-11-18T19.36.26.146,0.181,-0.061,-0.061,-0.183
1574076986157,2019-11-18T19.36.26.157,0.192,-0.061,-0.122,-0.244
1574076986167,2019-11-18T19.36.26.167,0.202,-0.061,-0.122,-0.244
1574076986177,2019-11-18T19.36.26.177,0.212,0.000,-0.122,-0.183
1574076986187,2019-11-18T19.36.26.187,0.222,-0.061,-0.061,-0.183
1574076986198,2019-11-18T19.36.26.198,0.233,-0.061,-0.061,-0.244
1574076986208,2019-11-18T19.36.26.208,0.243,-0.061,-0.122,-0.305
1574076986218,2019-11-18T19.36.26.218,0.253,0.061,-0.122,-0.305
1574076986228,2019-11-18T19.36.26.228,0.263,0.000,-0.122,-0.244
1574076986239,2019-11-18T19.36.26.239,0.274,0.061,-0.122,-0.305
1574076986249,2019-11-18T19.36.26.249,0.284,0.061,-0.061,-0.244
1574076986258,2019-11-18T19.36.26.258,0.293,-0.061,-0.122,-0.183
1574076986268,2019-11-18T19.36.26.268,0.303,-0.061,-0.183,-0.183
1574076986278,2019-11-18T19.36.26.278,0.313,0.000,-0.122,-0.244
1574076986288,2019-11-18T19.36.26.288,0.323,-0.061,-0.122,-0.305
1574076986299,2019-11-18T19.36.26.299,0.334,-0.061,-0.061,-0.305
1574076986309,2019-11-18T19.36.26.309,0.344,0.000,-0.061,-0.244
1574076986319,2019-11-18T19.36.26.319,0.354,-0.122,-0.061,-0.183
1574076986329,2019-11-18T19.36.26.329,0.364,-0.122,-0.122,-0.244
1574076986340,2019-11-18T19.36.26.340,0.375,0.000,-0.061,-0.183
1574076986350,2019-11-18T19.36.26.350,0.385,0.000,-0.122,-0.244
1574076986360,2019-11-18T19.36.26.360,0.395,-0.061,-0.061,-0.244
1574076986369,2019-11-18T19.36.26.369,0.404,0.000,-0.183,-0.183
1574076986379,2019-11-18T19.36.26.379,0.414,0.000,-0.061,-0.244
1574076986389,2019-11-18T19.36.26.389,0.424,0.000,-0.122,-0.305
1574076986400,2019-11-18T19.36.26.400,0.435,0.122,-0.122,-0.183
1574076986410,2019-11-18T19.36.26.410,0.445,0.000,-0.183,-0.183
1574076986420,2019-11-18T19.36.26.420,0.455,0.000,-0.183,-0.305
1574076986430,2019-11-18T19.36.26.430,0.465,0.000,-0.061,-0.305
1574076986441,2019-11-18T19.36.26.441,0.476,0.061,-0.061,-0.305
1574076986451,2019-11-18T19.36.26.451,0.486,0.000,-0.122,-0.305
1574076986461,2019-11-18T19.36.26.461,0.496,0.000,-0.122,-0.244
1574076986470,2019-11-18T19.36.26.470,0.505,-0.061,-0.061,-0.244
1574076986480,2019-11-18T19.36.26.480,0.515,-0.061,-0.122,-0.244
1574076986490,2019-11-18T19.36.26.490,0.525,0.000,-0.183,-0.244
1574076986501,2019-11-18T19.36.26.501,0.536,-0.061,-0.061,-0.305
1574076986511,2019-11-18T19.36.26.511,0.546,-0.122,-0.183,-0.244
1574076986521,2019-11-18T19.36.26.521,0.556,0.000,-0.122,-0.244
1574076986532,2019-11-18T19.36.26.532,0.567,0.061,-0.122,-0.244
1574076986542,2019-11-18T19.36.26.542,0.577,0.000,-0.183,-0.244
1574076986552,2019-11-18T19.36.26.552,0.587,-0.061,-0.061,-0.244
1574076986562,2019-11-18T19.36.26.562,0.597,0.000,0.000,-0.244
1574076986573,2019-11-18T19.36.26.573,0.608,0.061,-0.183,-0.244
1574076986581,2019-11-18T19.36.26.581,0.616,0.000,-0.183,-0.305
1574076986592,2019-11-18T19.36.26.592,0.627,-0.061,-0.122,-0.244
1574076986602,2019-11-18T19.36.26.602,0.637,0.000,-0.122,-0.244
1574076986612,2019-11-18T19.36.26.612,0.647,0.000,-0.122,-0.305
1574076986622,2019-11-18T19.36.26.622,0.657,0.000,-0.183,-0.305
1574076986633,2019-11-18T19.36.26.633,0.668,-0.061,-0.183,-0.305
1574076986643,2019-11-18T19.36.26.643,0.678,-0.122,-0.122,-0.244
1574076986653,2019-11-18T19.36.26.653,0.688,-0.061,-0.122,-0.244
1574076986663,2019-11-18T19.36.26.663,0.698,-0.061,-0.183,-0.183
1574076986674,2019-11-18T19.36.26.674,0.709,0.000,-0.183,-0.244
1574076986684,2019-11-18T19.36.26.684,0.719,0.000,-0.122,-0.122
1574076986693,2019-11-18T19.36.26.693,0.728,-0.061,-0.122,-0.305
1574076986703,2019-11-18T19.36.26.703,0.738,-0.183,-0.122,-0.305
1574076986713,2019-11-18T19.36.26.713,0.748,0.061,-0.122,-0.305
1574076986723,2019-11-18T19.36.26.723,0.758,0.000,-0.122,-0.244
1574076986734,2019-11-18T19.36.26.734,0.769,-0.061,-0.183,-0.366
1574076986744,2019-11-18T19.36.26.744,0.779,0.000,-0.122,-0.366
1574076986754,2019-11-18T19.36.26.754,0.789,-0.061,-0.122,-0.244
1574076986764,2019-11-18T19.36.26.764,0.799,-0.122,-0.183,-0.244
1574076986775,2019-11-18T19.36.26.775,0.810,0.000,-0.183,-0.305
1574076986785,2019-11-18T19.36.26.785,0.820,0.061,-0.183,-0.244
1574076986795,2019-11-18T19.36.26.795,0.830,0.000,-0.183,-0.244
1574076986804,2019-11-18T19.36.26.804,0.839,0.061,-0.183,-0.244
1574076986814,2019-11-18T19.36.26.814,0.849,0.061,-0.183,-0.183
1574076986824,2019-11-18T19.36.26.824,0.859,-0.061,-0.061,-0.244
1574076986835,2019-11-18T19.36.26.835,0.870,-0.122,-0.183,-0.244
1574076986845,2019-11-18T19.36.26.845,0.880,0.000,-0.305,-0.244
1574076986855,2019-11-18T19.36.26.855,0.890,0.000,-0.122,-0.305
1574076986865,2019-11-18T19.36.26.865,0.900,-0.122,-0.122,-0.305
1574076986876,2019-11-18T19.36.26.876,0.911,0.000,-0.183,-0.244
1574076986886,2019-11-18T19.36.26.886,0.921,-0.061,-0.122,-0.183
1574076986896,2019-11-18T19.36.26.896,0.931,0.000,-0.122,-0.305
1574076986907,2019-11-18T19.36.26.907,0.942,-0.061,-0.122,-0.305
1574076986915,2019-11-18T19.36.26.915,0.950,-0.061,-0.122,-0.305
1574076986926,2019-11-18T19.36.26.926,0.961,-0.061,-0.122,-0.244
1574076986936,2019-11-18T19.36.26.936,0.971,0.061,-0.122,-0.305
1574076986946,2019-11-18T19.36.26.946,0.981,-0.061,-0.061,-0.244
1574076986956,2019-11-18T19.36.26.956,0.991,-0.061,-0.061,-0.183
1574076986967,2019-11-18T19.36.26.967,1.002,0.061,-0.122,-0.305
1574076986977,2019-11-18T19.36.26.977,1.012,0.061,-0.122,-0.305
1574076986987,2019-11-18T19.36.26.987,1.022,-0.061,-0.061,-0.305
1574076986997,2019-11-18T19.36.26.997,1.032,-0.061,-0.122,-0.183
1574076987008,2019-11-18T19.36.27.008,1.043,0.000,-0.122,-0.244
