epoc (ms),timestamp (+0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574077154861,2019-11-18T19.39.14.861,0.000,-0.035,0.033,-1.029
1574077154871,2019-11-18T19.39.14.871,0.010,-0.035,0.031,-1.038
1574077154882,2019-11-18T19.39.14.882,0.021,-0.036,0.031,-1.038
1574077154892,2019-11-18T19.39.14.892,0.031,-0.037,0.031,-1.039
1574077154902,2019-11-18T19.39.14.902,0.041,-0.034,0.031,-1.038
1574077154912,2019-11-18T19.39.14.912,0.051,-0.033,0.031,-1.039
1574077154921,2019-11-18T19.39.14.921,0.060,-0.032,0.031,-1.035
1574077154931,2019-11-18T19.39.14.931,0.070,-0.033,0.032,-1.034
1574077154942,2019-11-18T19.39.14.942,0.081,-0.035,0.030,-1.036
1574077154952,2019-11-18T19.39.14.952,0.091,-0.035,0.033,-1.039
1574077154962,2019-11-18T19.39.14.962,0.101,-0.034,0.032,-1.041
1574077154972,2019-11-18T19.39.14.972,0.111,-0.035,0.033,-1.039
1574077154983,2019-11-18T19.39.14.983,0.122,-0.033,0.033,-1.040
1574077154993,2019-11-18T19.39.14.993,0.132,-0.034,0.031,-1.041
1574077155003,2019-11-18T19.39.15.003,0.142,-0.036,0.030,-1.037
1574077155013,2019-11-18T19.39.15.013,0.152,-0.034,0.034,-1.040
1574077155022,2019-11-18T19.39.15.022,0.161,-0.034,0.033,-1.040
1574077155032,2019-11-18T19.39.15.032,0.171,-0.035,0.033,-1.040
1574077155043,2019-11-18T19.39.15.043,0.182,-0.033,0.031,-1.039
1574077155053,2019-11-18T19.39.15.053,0.192,-0.034,0.033,-1.038
1574077155063,2019-11-18T19.39.15.063,0.202,-0.034,0.031,-1.038
1574077155073,2019-11-18T19.39.15.073,0.212,-0.034,0.029,-1.040
1574077155084,2019-11-18T19.39.15.084,0.223,-0.035,0.032,-1.037
1574077155094,2019-11-18T19.39.15.094,0.233,-0.035,0.031,-1.036
1574077155104,2019-11-18T19.39.15.104,0.243,-0.034,0.032,-1.037
1574077155113,2019-11-18T19.39.15.113,0.252,-0.033,0.032,-1.036
1574077155123,2019-11-18T19.39.15.123,0.262,-0.034,0.032,-1.041
1574077155133,2019-11-18T19.39.15.133,0.272,-0.035,0.032,-1.038
1574077155144,2019-11-18T19.39.15.144,0.283,-0.034,0.032,-1.040
1574077155154,2019-11-18T19.39.15.154,0.293,-0.032,0.032,-1.039
1574077155164,2019-11-18T19.39.15.164,0.303,-0.035,0.031,-1.037
1574077155174,2019-11-18T19.39.15.174,0.313,-0.035,0.033,-1.037
1574077155185,2019-11-18T19.39.15.185,0.324,-0.036,0.031,-1.036
1574077155195,2019-11-18T19.39.15.195,0.334,-0.036,0.032,-1.042
